TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
ffffffc2,01008040,20100804,02010080,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffc5,028140a0,5028140a,05028140,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffc6,8341a0d0,68341a0d,068341a0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffc7,83c1e0f0,783c1e0f,0783c1e0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffc8,44221108,84422110,88442210,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffc8,c4623118,8c462311,88c46230,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffc9,44a25128,944a2512,8944a250,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffc9,c4e27138,9c4e2713,89c4e270,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffca,25128944,a2512894,4a251288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffca,6532994c,a6532994,ca653298,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffca,a552a954,aa552a95,4aa552a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffca,e572b95c,ae572b95,cae572b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffcb,2592c964,b2592c96,4b2592c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffcb,65b2d96c,b65b2d96,cb65b2d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffcb,a5d2e974,ba5d2e97,4ba5d2e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffcb,e5f2f97c,be5f2f97,cbe5f2f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffcc,26130984,c2613098,4c261308,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffcc,6633198c,c6633198,cc663318,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffcc,a6532994,ca653299,4ca65328,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffcc,e673399c,ce673399,cce67338,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffcd,269349a4,d269349a,4d269348,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffcd,66b359ac,d66b359a,cd66b358,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffcd,a6d369b4,da6d369b,4da6d368,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffcd,e6f379bc,de6f379b,cde6f378,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffce,271389c4,e271389c,4e271388,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffce,673399cc,e673399c,ce673398,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffce,a753a9d4,ea753a9d,4ea753a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffce,e773b9dc,ee773b9d,cee773b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffcf,2793c9e4,f2793c9e,4f2793c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffcf,67b3d9ec,f67b3d9e,cf67b3d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffcf,a7d3e9f4,fa7d3e9f,4fa7d3e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffcf,e7f3f9fc,fe7f3f9f,cfe7f3f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffd0,28140a05,028140a0,50281408,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffd0,68341a0d,068341a0,d0683418,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffd0,a8542a15,0a8542a1,50a85428,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffd0,e8743a1d,0e8743a1,d0e87438,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffd1,28944a25,128944a2,51289448,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffd1,68b45a2d,168b45a2,d168b458,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffd1,a8d46a35,1a8d46a3,51a8d468,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffd1,e8f47a3d,1e8f47a3,d1e8f478,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffd2,29148a45,229148a4,52291488,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffd2,69349a4d,269349a4,d2693498,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffd2,a954aa55,2a954aa5,52a954a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffd2,e974ba5d,2e974ba5,d2e974b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffd3,2994ca65,32994ca6,532994c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffd3,69b4da6d,369b4da6,d369b4d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffd3,a9d4ea75,3a9d4ea7,53a9d4e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffd3,e9f4fa7d,3e9f4fa7,d3e9f4f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffd4,2a150a85,42a150a8,542a1508,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffd4,6a351a8d,46a351a8,d46a3518,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffd4,aa552a95,4aa552a9,54aa5528,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffd4,ea753a9d,4ea753a9,d4ea7538,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffd5,2a954aa5,52a954aa,552a9548,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffd5,6ab55aad,56ab55aa,d56ab558,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffd5,aad56ab5,5aad56ab,55aad568,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffd5,eaf57abd,5eaf57ab,d5eaf578,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffd6,2b158ac5,62b158ac,562b1588,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffd6,6b359acd,66b359ac,d66b3598,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffd6,ab55aad5,6ab55aad,56ab55a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffd6,eb75badd,6eb75bad,d6eb75b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffd7,2b95cae5,72b95cae,572b95c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffd7,6bb5daed,76bb5dae,d76bb5d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffd7,abd5eaf5,7abd5eaf,57abd5e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffd7,ebf5fafd,7ebf5faf,d7ebf5f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffd8,2c160b05,82c160b0,582c1608,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffd8,6c361b0d,86c361b0,d86c3618,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffd8,ac562b15,8ac562b1,58ac5628,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffd8,ec763b1d,8ec763b1,d8ec7638,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffd9,2c964b25,92c964b2,592c9648,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffd9,6cb65b2d,96cb65b2,d96cb658,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffd9,acd66b35,9acd66b3,59acd668,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffd9,ecf67b3d,9ecf67b3,d9ecf678,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffda,2d168b45,a2d168b4,5a2d1688,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffda,6d369b4d,a6d369b4,da6d3698,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffda,ad56ab55,aad56ab5,5aad56a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffda,ed76bb5d,aed76bb5,daed76b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffdb,2d96cb65,b2d96cb6,5b2d96c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffdb,6db6db6d,b6db6db6,db6db6d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffdb,add6eb75,badd6eb7,5badd6e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffdb,edf6fb7d,bedf6fb7,dbedf6f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffdc,2e170b85,c2e170b8,5c2e1708,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffdc,6e371b8d,c6e371b8,dc6e3718,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffdc,ae572b95,cae572b9,5cae5728,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffdc,ee773b9d,cee773b9,dcee7738,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffdd,2e974ba5,d2e974ba,5d2e9748,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffdd,6eb75bad,d6eb75ba,dd6eb758,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffdd,aed76bb5,daed76bb,5daed768,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffdd,eef77bbd,deef77bb,ddeef778,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffde,2f178bc5,e2f178bc,5e2f1788,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffde,6f379bcd,e6f379bc,de6f3798,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffde,af57abd5,eaf57abd,5eaf57a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffde,ef77bbdd,eef77bbd,deef77b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffdf,2f97cbe5,f2f97cbe,5f2f97c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffdf,6fb7dbed,f6fb7dbe,df6fb7d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffdf,afd7ebf5,fafd7ebf,5fafd7e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffdf,eff7fbfd,feff7fbf,dfeff7f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffe0,30180c06,030180c0,60301808,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffe0,70381c0e,070381c0,e0703818,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffe0,b0582c16,0b0582c1,60b05828,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffe0,f0783c1e,0f0783c1,e0f07838,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffe1,30984c26,130984c2,61309848,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffe1,70b85c2e,170b85c2,e170b858,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffe1,b0d86c36,1b0d86c3,61b0d868,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffe1,f0f87c3e,1f0f87c3,e1f0f878,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffe2,31188c46,231188c4,62311888,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffe2,71389c4e,271389c4,e2713898,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2fffffe2,b158ac56,2b158ac5,62b158a8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3fffffe2,f178bc5e,2f178bc5,e2f178b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4fffffe3,3198cc66,33198cc6,633198c8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5fffffe3,71b8dc6e,371b8dc6,e371b8d8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6fffffe3,b1d8ec76,3b1d8ec7,63b1d8e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7fffffe3,f1f8fc7e,3f1f8fc7,e3f1f8f8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0fffffe4,32190c86,432190c8,64321908,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1fffffe4,72391c8e,472391c8,e4723918,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
