Truncated,Nbuf,NBXc,Cond1,Cond2,Cond3,Cond4
0,0,25,0,0,0,1
0,21,25,0,0,0,1
0,42,25,0,0,0,1
0,63,25,0,0,0,1
0,84,25,0,0,0,1
0,105,25,0,0,0,1
0,126,25,0,0,0,1
0,147,25,0,0,0,1
0,168,25,0,0,0,1
0,189,25,0,0,0,1
0,210,25,0,0,0,1
0,231,25,0,0,0,1
0,252,25,0,0,0,1
0,273,25,0,0,0,1
0,294,25,0,0,0,1
0,315,25,0,0,0,1
0,336,25,0,0,0,1
0,357,25,0,0,0,1
0,378,25,0,0,0,1
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
1,411,25,0,1,0,0
1,408,25,0,1,0,0
1,405,25,0,1,0,0
1,402,25,0,1,0,0
0,399,25,0,0,0,1
1,420,25,0,1,0,0
1,417,25,0,1,0,0
1,414,25,0,1,0,0
