TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f82022c1,030c0010,30220080,02000020,01410202,00200000,8081080c,10002040,83040400,20604107,000c0800,00000000,00000000
08102101,04020068,40418081,12000030,40008810,08281040,c0030608,101041c0,02020411,10410104,081c2000,00000000,00000000
101020c0,85020010,00400102,040c0030,40428000,08b02040,01800a10,00000080,01120808,00010082,04000800,00000000,00000000
18406041,87022410,30800186,0a008070,80528302,28200040,00060028,28206281,83080c20,20808206,1a0c9000,00000000,00000000
20208001,80020408,a0008206,06102810,02028104,08287040,00020a00,205041c0,82003c08,2040c181,02042000,00000000,00000000
28200001,02060418,1045c180,06002020,60020000,000030c0,40840208,00108140,84000000,00804004,02002000,00000000,00000000
30002040,02020800,91414082,00001040,20410302,08001000,01820604,00202042,01040008,1021c281,001c2000,00000000,00000000
38a00000,03020810,10200082,00001860,80408308,0c085000,02880400,0030e005,04020078,10a18501,0a082800,00000000,00000000
40108206,02160800,10200004,0e200820,00008106,10283020,8108020c,0800c0c0,03040820,20604101,06080800,00000000,00000000
48000041,00000410,00018101,061c50b0,80008406,0c1810c1,80800240,20008004,8c161818,6080c187,0a084000,00000000,00000000
50100040,01020018,10204101,0e0c0820,24c28200,04284041,01800204,08400081,01000020,40618002,04242000,00000000,00000000
58000000,00040410,1060c003,00042000,60410202,1c087080,80010204,28202081,83000028,00400014,04040800,00000000,00000000
604060c0,09001040,10000002,04000010,00c09208,1c280020,81030450,18202040,84000020,00000182,0c0c2800,00000000,00000000
68500000,00062828,30404100,02044800,00000304,0c286060,c2061230,2030a102,83060478,20808283,0a105000,00000000,00000000
7050e041,01320430,10414100,060c1050,c0408000,04202020,03820404,18002000,01040020,50000085,12042000,00000000,00000000
78000000,81140008,00010100,000800a0,a0458102,102810a1,42040810,28204080,00060810,10024202,04041800,00000000,00000000
00a04140,02000400,d0608482,02481050,a0008104,04183001,81050404,08304001,81060420,00200088,06040800,00000000,00000000
0800e000,80040400,00a00080,02040070,20410202,00014080,40800414,00016040,82020040,40a0c002,16083000,00000000,00000000
10004046,05020400,30204104,00041010,e0008400,04006020,4081000c,000182c1,82121008,40608100,02000000,00000000,00000000
18200001,010a0400,21614080,02081030,40408124,00483081,43801228,08704084,02000808,2100c403,020c1000,00000000,00000000
20304000,84040008,10004002,02040020,c2c1050a,04182121,43800a00,00006003,040c0c58,30e18083,0a200800,00000000,00000000
28002040,0e020810,71230202,06184040,80410402,0848a080,c4801460,1890c001,9a000810,7061c305,00104000,00000000,00000000
30000000,01063400,50804100,06080030,40c9020c,08187021,81810a08,0010e080,03062418,20c14182,0c041800,00000000,00000000
380020c0,05180010,10800081,04041820,60420106,04080001,c1010a08,18506081,07080c28,20a08080,04140800,00000000,00000000
40002041,04060408,40200082,06100020,60c10108,00101060,c1050434,10006083,05000408,c0008082,000c2800,00000000,00000000
48000082,870c0800,60210104,0e102020,e0010100,00012040,8180040c,18102000,82061408,1043c801,02080800,00000000,00000000
5030c082,03060010,10208001,08081800,20c00300,04083061,03830004,08502080,81121020,00204082,04083800,00000000,00000000
58106040,00000020,b0218000,00000050,41418306,08486005,01050400,00200000,01000018,30804386,06040800,00000000,00000000
60008040,01100c00,0080c080,04000000,60420000,0c102000,00820428,08002040,80141c00,20044207,02182000,00000000,00000000
6800a0c0,03000400,00204101,00040810,41808400,0c203001,4104020c,58504180,82041828,10208183,06041000,00000000,00000000
70100180,02003030,81204102,04040020,c0000106,04205040,01060004,00002041,850c0019,0081c084,081c3000,00000000,00000000
78102101,81000c00,30208100,0e041010,01830102,14103042,83810404,00c00100,80000008,a061410a,060c6800,00000000,00000000
00000081,8b121418,00208404,00401020,41818608,001850a0,81810604,20202042,010c0c08,20e1808b,06084800,00000000,00000000
08302000,00020810,a0a04100,00100810,00800006,04101000,0503000c,8040c001,84020000,00800100,14082000,00000000,00000000
10000002,05000c00,30810000,00041000,60430914,08080000,00800610,80204001,03000018,1100c284,040c6000,00000000,00000000
18102101,070e1818,60a00189,08004850,6042021c,2c081083,8808020c,08202100,82020808,00e10104,02040800,00000000,00000000
20302000,01000000,31200100,02001040,00030704,14202001,40800000,20202201,81040c10,4000c18e,06041000,00000000,00000000
28204000,00080400,0002c000,02082042,02c10506,04380080,40840004,082020c1,010e1008,30808189,02001000,00000000,00000000
30218100,841c0400,40e14600,06100080,e1428302,041010a1,41800618,0802a040,01040008,80008186,04041000,00000000,00000000
38014040,02080400,10a04001,1a000020,40428200,14200020,4000020c,00202481,02021848,20400180,14041000,00000000,00000000
4020c081,80020400,00200100,02042860,20818404,0c2800a0,00800204,08302000,81020000,00404003,20002800,00000000,00000000
48104042,00040010,00004003,02000810,61c38116,04281020,41010200,30002041,01000010,00410109,021c7800,00000000,00000000
5000a080,00040800,30000201,020c0010,00010306,04086060,41061008,10014341,81061808,0020c001,00002000,00000000,00000000
58402002,00081000,60608000,02103010,40430404,08201020,c0810008,08604100,051c0420,1060c205,080c0800,00000000,00000000
60506000,01000458,a0218084,02002000,40400504,08101022,40810418,08408002,08020410,10008201,12003800,00000000,00000000
68400080,00000810,70214780,00006020,01019104,24080021,88832804,30304080,81020028,60618185,060c2000,00000000,00000000
70000081,8b121418,00208404,00401020,41818608,001850a0,81810604,20202042,010c0c08,20e1808b,06084800,00000000,00000000
78002200,00020000,00400000,02200020,21010104,041000c0,41810008,08104000,81000438,40000001,04081000,00000000,00000000
0000a000,00080008,20804401,020c0060,c1028004,08480020,43800004,08102000,1a020008,10224092,08200800,00000000,00000000
08102080,83040010,30008181,04080021,81c20204,10202060,40810800,20204085,00020020,50610409,06247800,00000000,00000000
10000101,02080810,20604006,06001841,00418112,14183060,c188000c,00304080,82000018,10c10084,00040800,00000000,00000000
18004100,00000808,50a04084,06140800,20808308,30487060,418c0414,00f12080,810a1018,30004292,06002000,00000000,00000000
20102080,00000418,70200100,04080020,00400102,04082000,0081020c,0800e041,82000c08,30600e01,02084800,00000000,00000000
28400241,01040408,50c08082,0c081000,41c10302,00105000,80810000,00204000,81000418,30208100,02140800,00000000,00000000
30002000,03001410,0020c003,02002810,60030000,04184080,00820408,10000041,000e0400,60010301,04048000,00000000,00000000
38004200,80000038,20400102,00040000,80018200,00202020,01850200,00104040,83000408,01204383,020c0800,00000000,00000000
40200080,07000c10,00218002,06040030,61838102,04084040,81020228,30402001,01020028,40a04182,04040800,00000000,00000000
48100000,00000c00,4141c281,00003010,01028802,18203080,08820a04,10006081,00000010,10800080,0c0c1000,00000000,00000000
