RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
90c400a0,9063892b,90278003,93840980,91c18380,9122c28e,91060989,94200732,91001489,90034382,916600a7,90014605
a1c4c70c,a064189d,a461878b,a8628aa8,a1028b8e,a001fa84,a8820c00,a0218281,a304c400,a1a545a4,a1008300,a3e34214
a061c81b,a1c0c892,a12409a5,a5475284,a140c394,a0414005,a0468088,a4e083bd,a0c50012,a0818586,a001080c,a0814487
a0a0140c,a3200304,a5448d8a,a064410f,a003530f,a24c0880,a2274786,a0018499,a0214c8e,a22088b8,a183598a,a1130103
a022c315,a0c0121b,a165c099,a262179b,a1a0ca11,a0270482,a0a5834e,a0420620,a04f4182,a6848a18,a264d421,a260d701
a0c7818d,a1068206,a041c113,a201c2a3,a1a1c518,a080810e,a4c00d15,a0240095,a0004127,a0284215,a32382a5,a0e18587
a0224789,a0a84280,a3298286,a182131e,a1054f0b,a1ec0580,a0e0060b,a2209003,a080d011,a009d204,a1245c82,a0858499
a0638f0d,a022089a,a32a0681,a02a8380,a0420b08,a240108f,a0008b27,a001d511,a2c04714,a2604104,a102c201,a02d1897
a0008592,a0a387bb,a2c8408b,a22000a9,a123c804,a0414286,a0030404,a0e4c080,a0838b05,a401160d,a2828700,a0444112
a021c00b,a4430500,a127c108,a1438996,a3600981,a0c7800a,a183420b,a3a3408d,a360c189,a066470f,a1011508,a1620881
a066c635,a121c684,a0054716,a2430a05,aa40c680,a120c205,a6a34402,a0634a04,a001008b,a160c580,a430d100,a2a30702
a0e24900,a0a30301,a4a2c700,a003c481,a0e18408,a1804212,a3218780,a1038083,a1054000,a0c18187,a1b0e390,a141d0a2
a500c211,a041c792,a6200287,a0854a10,a4a2d996,a1030083,a0014091,a125c00b,a4224119,a085d986,a7240481,a207078a
a0c1871d,a6c61b83,a0401585,a0680298,a0c48521,a220c081,a081c08c,a5818414,a0e1c299,a3a40dba,a001c501,a1a2c684
a4020194,a1408903,a146c68a,a106c485,a0034190,a0c00084,a323c838,a2e08634,a0a5820a,a122c128,a1e04100,a2e04c82
a1020381,a1a20380,ab85448c,a0201603,ab02048e,a2e68087,a06e0288,a1014706,a1e0c544,a0004d90,a244c748,a087088b
a180c280,a480430f,a1c7d402,a060c603,a0264484,a040849b,a2428680,a0e20c10,a00a018e,a72000f0,a0e60b8e,a160c100
a0c2c080,a261810c,a2270492,a6a0c080,a36a0180,a0e2c316,a072428b,a264450e,a142c096,a2224381,a0edc981,a182041a
a001c081,a2410085,a100589f,a04c841d,a040021c,a1020491,a5018602,a1244488,a12109ca,a0430007,a540c404,a120ca97
a2028412,a0e24803,a0c48310,a000828a,a0828094,a0448499,a0e04036,a0a11100,a101d8c0,a24586a3,a0610600,a4868fad
a4a1c187,a3420e97,a141ce06,a42d458d,a422d90e,a1804481,a00c42e4,a2038180,a12042a5,a0c08092,a1a0cc0e,a0c38288
a1260411,a1404805,a000c2ba,a22e0184,a0e1c298,a0000782,a221c01c,a0604f0a,a0c2419c,a0a15b09,a3a0cc91,a31a8608
a1610303,a2e01e0e,a041dd02,a1e18709,a4a38781,a0070a01,a06a8016,a04ac480,a1450002,a2414186,a34307a9,a342c093
a042c501,a58208bc,a5a3c217,a2018704,a141c615,a0a20385,a160d9a8,a040810a,a1838312,a0854103,a0c18405,a0a35280
a0e20c81,a0288b11,a3038e32,a2638b85,a12a8204,a0c0910b,a1010601,a1664503,a5a0c617,a0838708,a44280ae,a282c043
a0238403,a042811a,a1a50087,a0218205,a1208485,a1a04306,a1220904,a0c14196,a1050711,a561c20f,a1a691a8,a2034491
a0670e01,a1420080,a1000425,a028c900,a0204011,a121cba2,a54007a1,a041048e,a440c101,a3e4490d,a2c70b14,a0824905
a3844794,a2c08704,a0004984,a1c30380,a42100b2,a102c08d,a1618118,a1c001d0,a0a1c787,a1c2ca13,a0ee8594,a349ce09
a0468382,a2a00d11,a0419182,a1040307,a123c1b2,a3074407,a1c18c04,a1050889,a1448585,a0a0800c,a182cb21,a3a2c219
a0894294,a064c881,a4c38315,a042cd0d,a1640199,a060c39b,a5120899,a1a78a80,a0840b94,a1434296,a3e40f80,a1e9c597
a326492a,a020819f,a0e20421,a0420188,a2320682,a1c38105,a0841315,a0c38197,a1e40e00,a1e24393,a0630407,a0c70685
a2800418,a283c214,a1600489,a281c001,a0e00002,a0e14082,a1204202,a5e986a4,a0610e01,a165c102,a0a0420f,a1c24d21
a3814c0c,a140020a,a0400389,a265400c,a180c283,a2e0c210,a049018b,a225c604,a2200089,a3e30703,a0c00288,a084c696
a2800383,a38042a0,a0420702,a066c113,a1274801,a0844d1b,a049c080,a084c581,a10701ad,a20b468b,a241db15,a0a10190
a380c224,a565c105,a0418102,a380478f,a683c0a4,a1e58213,a0c6020b,a4a00201,a2a0c490,a2a10708,a306c305,a983004f
a024020d,a4400aa5,a04dc286,a0e580ac,a2d0c58e,a0eb5e83,a0c49009,a4439232,a0e08e0a,a0c3002a,a0414903,a201c80c
a54184c5,a6814533,a0244207,a2ca4a16,a2608689,a52107b9,a3208b87,a0434081,a1e04189,a244cd81,a0228b1c,a3804054
a1878201,a221ca83,a2450b04,a200858a,a500c305,a082c082,a00b5114,a0230083,a3e24581,a20a400e,a2218814,a1838134
a1c14180,a2068289,a3a4810a,a0e5c792,a6e68029,a16fc714,a0604181,a4414601,a7c10000,a0634b89,a2c34a19,a1e28a0d
a7ecc283,a0e20180,a083c012,a001c536,a240ce81,a164158f,a1664405,a10fc180,a1a6c41d,a040d08a,a040128e,a3810f2b
a042490b,a3408705,a0648802,a0228489,a163d409,a002cc84,a0001009,a3410882,a22dc38a,a4c2089c,a0414302,a2e74101
a061c79e,a422030c,a0828389,a16088aa,a0230d81,a0435312,a209c902,a321c680,a0c74605,a1c60995,a400c187,a1014202
a04a0104,a021000f,a2200400,a0edc303,a069ca87,a1608a03,a640808d,a1c0c40e,a0a24116,a122490d,a081001a,a140c390
a0688207,a1804482,a3034609,a020068c,a8a00889,a88202a0,a2004084,a2c80101,a0098182,a0104285,a0034104,a1a0c189
a1a0cd0f,a164c49d,a1620781,a1e34102,a481048c,a303810d,a022450d,a1424d0b,a0034e21,a6240781,a1438209,a249c191
a3e8004c,a3c28206,a1a092b0,a1c3451e,a086c512,a0641004,a2054884,a0259004,a0238447,a201471a,a3a24221,a2c9cd8d
a325408a,a0c2cd85,a161451a,a1c8d785,a2024303,a3016d02,a0a9868d,a080c304,a1264713,a1834783,a108c59c,a2075203
a3834b8c,a0000116,a0c00784,a0c3818b,a381c780,a2240511,a0a36301,a1a58094,a0468783,a121040b,a2428193,a005c783
a1234d05,a0624014,a041130e,a22d0284,a16a418b,a0670085,a064819a,a047ce95,a1031408,a0240684,a180d10b,a2e78195
a0e4c58c,a3e28e06,a2c04481,a0c44207,a0458252,a620038a,a0c50b27,a0428b8a,a2a50487,a063440d,a4214018,a1c1c10d
a100c401,a265101f,a6a98000,a1e74005,a0e083b4,a1460f8c,a020c287,a280c58b,a001049a,a2220391,a2c5181c,a0a48720
a42644a2,a1445a82,a4400004,a202ce8a,a220478a,a0448293,a0824682,a0c5020e,a0624489,a0c38705,a1830299,a0cd019c
a0204012,a32881a1,a220c44f,a0c0c887,a160e106,a0e11582,a1690480,a225c021,a2610991,a0214596,a044c7a7,a5e0431b
a5408083,a2609005,a0604482,a0484280,a3c30b80,a3281803,a0208399,a3a30512,a2230525,a3440081,a2624300,a4e14101
a1024203,a2a40702,a0214902,a2220303,a0a2c2a0,a2058a86,a3018e06,a0600c08,a0a18106,a0a540ad,a1a20216,a0410082
a1e0c69a,a364d197,a0c05306,a4c28387,a0a38188,a9444981,a341ca13,a041c30e,a00e0284,a02483b1,a10146b4,a040060d
a1424228,a0c20302,a7a34409,a2c6c1a6,a321a385,a1c68113,a1a28181,a1c0820a,a025c099,a1240316,a0634111,a0820081
a0a29102,a0010102,a3a00288,a024070f,a2a08a01,a0400892,a042c017,a3e343b1,a1a2c905,a161c486,a10c4010,a3a7cf03
a0e5438b,a02a8191,a0654184,a0800407,a061000d,a141c21e,a148c080,a0c54fa7,a5424191,a121c01d,a0020a04,a3e3ca0b
a203c908,a0824c86,a2200305,a3044901,a0a5c704,a14dc486,a360c50d,a0c0c602,a3614401,a0209ca4,a0c2c58f,a3e20303
a3058384,a1028205,a4640902,a1a14205,a0d09b03,a0005b8c,a0230018,a0e20908,a6a34004,a282c880,a2ab8501,a0819493
a22b8581,a2610a0d,a2c04606,a1624786,a0e1d107,a20088a1,a0c0c40e,a0884406,a1230f86,a027c7fd,a4610095,a00a0093
a0e2801e,a2810087,a120011a,a2c15010,a0290382,a7a041a4,a1360f0f,a0c28a84,a3a30182,a400c421,a54084ac,a0cac080
a3e00601,a5e01808,a0a0c024,a0024b0d,a022c51b,a043c309,a0e1849b,a2010109,a1e1cd10,a0c10687,a120860b,a1848684
a0c88293,a4805981,a2a1cd05,a003c980,a1e74e01,a225c583,a22a0025,a1c64423,a6ac899b,a0258284,a2afcc80,a0e00918
a1448102,a240c111,a0008019,a520a684,a0c14218,a1868b84,a0818696,a1001b91,a0408094,a0c4cb09,a1a04010,a1808803
a0274607,a04e1605,a3b00195,a0418308,a080c1c9,a2a18008,a2c84100,a0e74714,a0224097,a2c6c415,a08888a0,a0a38226
