TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
faa850bf,474666b3,2d1a4501,1d4e6be3,08008664,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ae454bf,02a28553,891e3c13,934747b0,0000ac32,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12bc543c,42c485f2,d4f03d00,1389c952,50343c00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1a8c4b3a,c46595ca,f94a2013,1f894ad1,b800a244,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22c846b7,0223f4da,c93c0000,1703c870,e0005a2d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ad04735,82a3350a,e1221302,9b852941,00008015,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32c04a38,83057512,c55e0008,9e842a40,d8007625,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3a9849b8,00049532,f0fe0720,2949c930,30008c0b,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
42ec53b9,c9e3152b,55622100,1a0846b1,681c7e03,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4aa84d3f,c004051b,15102413,97c96760,30007444,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52c84a36,c4a42562,99780003,1a870600,1800b034,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5aa44e37,8684a592,ed481f00,14ca4882,10003400,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62ac5a3e,c4a1c5bb,8d161008,1986c8c1,70004826,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6ac44e38,8104959b,61500007,1c44abc2,40004e06,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
72cc4dba,43a5552a,e1541000,1bc6a992,28006629,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7ac04fbb,4344b51a,cd620b05,1f852b71,70007225,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02ac563c,c3a355a3,3cda3203,9143aa50,98006000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ac45538,83c4056a,ed5e0006,9b06e881,68008808,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12c449ba,c2645593,2148030c,1bc4ca20,c8006c0d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1abc4ab3,400435db,55003400,0d8b8a12,c0342633,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22a859be,0523b5b3,153e0000,9589e7d2,d000642e,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ad04c3c,42050513,15560907,9fc50961,a0006e13,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32d84bbe,4385d592,f1284a06,1c074aa3,606c5a00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3aac5233,8883a58a,e1341308,144984d1,e8704e24,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
42cc4639,81e414e2,91501107,1b470a41,68006e13,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4ad853c1,c322a563,35103404,9b444a70,a8007c2d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52e44fbd,86a34583,05420e0f,18c7a820,e8006a23,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5ac04abd,03a46573,05441a00,1c43eae1,78006812,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62cc503d,01e4354a,dd480207,1c0609a1,80008635,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6aa449b7,83c5a582,cd464700,18c5e841,f0006400,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
72944b3a,c4a3b5a2,f5443307,9cc788f1,80007600,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7ac049b7,c1a3c4fa,e13e000d,9dc50ad1,e800661f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02bc573a,04a4c5b2,fcf04e05,14cde931,90007215,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0aec53c6,02a5458b,b518000b,96cb2ba1,18003a00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12cc50bb,04241532,b15c0006,9f468872,48005614,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1a9c51b8,c42265a2,f1481809,1d8a48c1,80007a00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22d04a36,43a2c4c2,e11e2300,104247e0,3000322f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ac0553b,0582753b,1d322402,1a4349e1,30006a20,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32a45a34,c72135fb,3d0a2001,97074671,f8008a00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3ab04734,8764c4ca,c5362406,110647b0,78001a21,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
42c04a38,03039542,f1481206,a2852a81,3000a423,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4ac04abc,c2c5454a,fd561300,9a042b50,e0007417,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52a04933,05e4056a,c5341800,13c56510,c0007e03,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5abc563b,05a3756a,f8e84d00,11074661,20008600,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62b04dbb,0684e612,ed423e03,1f4d87b2,4800b015,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6ad44db7,4403d59b,11480f0d,9d872a32,b800620a,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
72cc4cb6,43c3555a,d95a0507,9dc7c791,c8008212,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7ad44cb8,c42605e3,0d62280d,21c76b31,8800723e,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02a04c37,c5c395ba,c1583602,18c76802,0800561c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ad854b5,c541952b,09400a00,1e0607c1,48009201,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12884dba,c2455572,f94a1809,a0840bf1,7000642f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1ae450b6,04643522,ad303607,9a876842,10005800,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22d05239,02c53553,152c1706,9c04ea30,e0005010,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ad852b7,05c4f56a,a5200000,184647e0,e0007214,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32d4553d,03e51542,9d2e2700,16478922,f0003610,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3a944e36,042344f2,e15e0d01,99472651,70008819,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
42c44fbb,8283a55a,dd560005,a0482a82,7000540c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4ad454bd,45c55582,e12e1d00,16c3e9e1,a840560b,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52cc4cba,c226e55a,b5460404,1f860a32,68008419,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5a8c57bc,414495aa,f52e0302,9945ea12,b0004416,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62b447b7,82a4b542,90fc1a07,148b26a1,c8007613,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6aac4dbc,8225a4fa,ed002818,1ac62a50,8800544f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
72cc4f37,42a3355a,dd4c000d,9f8b88b1,98008e15,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7abc573b,86635643,7d0c4603,170c6951,90006a00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02c04d3b,c3e4853a,c9720b0d,1f466910,f800822b,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ac84838,800494fa,d15a000f,a1462a41,d8007022,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12d0553a,8781b5ba,ed561207,1a0d0720,80008205,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1ac4513a,4463b562,e17c0c02,9d46c931,78006e00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
