TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
faa8795b,4d4a68ec,45a8821c,2bd94fc4,4098d2a0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ae47c57,c7a5975c,a1a46b29,9f926a81,2078f462,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12bc81d9,89486854,4d827915,a215ad93,f1489e10,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1a8c7052,c908e7cc,01d04f29,2d13ede2,f020ea79,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22c86dce,05e6f6e3,e9b22f12,210deb42,5000b05f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ad06ecf,8827474c,11a2491a,27106c72,4000d454,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32c069ce,470856c3,c1ec361f,2a0d8cc1,d000c064,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3a987250,0007570c,016e3637,b5540be1,7010c639,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
42ec7dd7,50a7378c,99fc5616,28536a12,d124d03e,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4aa874d8,83e7e734,4584592d,23950a81,a850c87e,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52c86ecf,c827a72b,c1f4221b,25d188a1,68010667,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5aa47952,8c08d7e4,1dc85a1a,2455abb3,80d09230,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62ac85d8,ca25a7f4,d9a0471f,26d20c53,2828a467,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6ac471d0,85c79794,79e21e1d,280f2fa3,a088aa3d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
72cc7453,0888d71c,05ca4216,26d0cc63,9868ae62,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7ac071d1,c7c7c6f3,c5e63e17,2a0f4e22,a038b661,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02ac8356,8926c80c,75646e1d,9f4f6dd2,301cb033,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0ac4764f,8827776b,e1e6281d,a6d02b02,8858c231,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12c468cf,06071764,21c8341e,a5ce0d21,e000b03d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1abc74cf,c488783c,95707110,1ad6ee54,5900986b,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22a88959,cbc7f81c,59ce311c,a495eb84,7864c46c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
