TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f457068f,9f73a2f2,e5cb1d44,70f1a325,941b44a4,daa3a609,1c326ca1,14060b18,00000000,00000000,00000000,00000000,00000000
14c3c9fb,d45af8a5,e88f1d4a,a14a636a,cf1c3679,81a44750,a23680fb,036951a8,00000000,00000000,00000000,00000000,00000000
2470643e,bbb753f3,e64d1e50,6941646a,8c193e85,31a2a80f,98306912,03e60d20,00000000,00000000,00000000,00000000,00000000
34198f96,d5be70b2,46091826,44ba1265,12123c5d,4182260d,112c68c9,63874c11,00000000,00000000,00000000,00000000,00000000
44926ff6,f8166d33,288ca130,64ea3448,0f9a3e8c,f2844a4d,984690f1,a3885019,00000000,00000000,00000000,00000000,00000000
54ad922f,6f69c795,084f9d32,80f223a6,8c9d4084,d2052914,9f468512,740712a0,00000000,00000000,00000000,00000000,00000000
647d070f,fff58703,e8109842,5cc20388,8c9e4261,09b486cf,9f348cd1,b32a0ca2,00000000,00000000,00000000,00000000,00000000
743f54f5,51e14bf3,64893426,4cb92265,48962660,e123c489,a33070c1,4246091f,00000000,00000000,00000000,00000000,00000000
04deaf04,a9cc7f75,cb4f2138,a5b21469,0d223889,6994a8d2,a3508119,d4080da9,00000000,00000000,00000000,00000000,00000000
14558979,fd60ddb3,4b0e174a,90c95405,4c9a4278,c993068c,1c2c64c1,c2e68c95,00000000,00000000,00000000,00000000,00000000
2491394f,7d677a33,060b203c,990a2369,539d36a4,d982e60b,193ebcf2,432b4b1d,00000000,00000000,00000000,00000000,00000000
344124cb,fe193ff3,06ca1428,5ca9f3c6,4f213c64,e242650d,a2484ca1,a2aa8c9f,00000000,00000000,00000000,00000000,00000000
4456f96b,5f1d4874,86499930,a8e28345,4c9b2a65,0994460b,232a6101,c325d01c,00000000,00000000,00000000,00000000,00000000
5483e63b,574527f3,46cd3632,6111c3a5,8e983451,1285260b,24328101,b2c64d9b,00000000,00000000,00000000,00000000,00000000
64974fb7,fc2483d3,c68d2038,7d021488,8d213271,2a74a810,2a348901,b487909d,00000000,00000000,00000000,00000000,00000000
748d008f,fdf057f2,cb0c9a52,711a4547,4e9b3888,b204864f,9b3c5509,83458e1b,00000000,00000000,00000000,00000000,00000000
0459d30e,9df34eb3,4651984e,7d017406,09973650,f25526cc,15327499,c3c78d1c,00000000,00000000,00000000,00000000,00000000
14885e4f,f03c7eb2,e64c9f3c,74a9a366,159f5290,c1c3ea4d,153e9509,94e6949e,00000000,00000000,00000000,00000000,00000000
2484d8cf,3a35bee3,270cb030,68d98347,8e993e7d,5184864b,9c406cba,93c60e21,00000000,00000000,00000000,00000000,00000000
3471fcc0,ffa0f372,6696a82a,50a1a408,cea0428c,c2c4274c,172464b9,73465120,00000000,00000000,00000000,00000000,00000000
4453cb0f,bf466a74,258e9650,8119932a,0c9e3454,e992a88a,193064c1,4306cc20,00000000,00000000,00000000,00000000,00000000
54a46faf,278cef83,c9101f56,9d6a6348,d1203474,b9d3c615,1d3664ea,6466d1a0,00000000,00000000,00000000,00000000,00000000
64b0e86f,f3707bd4,878c1836,85831347,129e3080,d1b3c6d2,193c6111,c52c94a9,00000000,00000000,00000000,00000000,00000000
745b460b,7e91efb4,860d194e,74b15509,8ea42c68,c9e3054b,96366cb9,a2a59217,00000000,00000000,00000000,00000000,00000000
04990f0d,cff666e3,66911b34,8d5ab32b,0f24346c,e22386cf,1a428cc9,a426cc28,00000000,00000000,00000000,00000000,00000000
14b4159f,fddec0b4,264f3348,610213a7,d2a7407c,f9d5288f,a3546d29,c3eb4d1c,00000000,00000000,00000000,00000000,00000000
24c0db5e,15bcff84,278d3040,94ea542c,8f2336c1,2a34c790,1a469d5a,1387d11c,00000000,00000000,00000000,00000000,00000000
3482149e,df5dadb4,4a131a38,6529c548,0d9a3280,b164474d,204a80b9,634a8d9c,00000000,00000000,00000000,00000000,00000000
449f470e,3b54abf4,274c1e36,5cc30528,12144eb4,e1a46553,16406942,43e70e1a,00000000,00000000,00000000,00000000,00000000
54443c5d,9fa25fb3,05491424,60a1d426,11223e5c,a9d3460b,1d2e80f1,b4e9cf1f,00000000,00000000,00000000,00000000,00000000
642b131f,cda2bbe2,a64b9528,70a1b406,4a972864,b9832549,9e386901,d448d114,00000000,00000000,00000000,00000000,00000000
748fc7cf,c3b82953,66d0962c,a8b9e306,8ca236a1,11c3a5d4,9c3080c2,5305ce9e,00000000,00000000,00000000,00000000,00000000
0478c13a,efa877f3,284d9a32,78f1f466,921a5054,d9758850,18406cc1,b366cd23,00000000,00000000,00000000,00000000,00000000
14d7d017,f7e134f3,06d04334,58c2b408,91aa3280,ca732693,233c6d11,a3260b98,00000000,00000000,00000000,00000000,00000000
24961e2f,d07fdb23,284c213a,88c9d648,14224e84,f1a36890,243e6d01,9366519a,00000000,00000000,00000000,00000000,00000000
343a314e,54ff3af2,880c9436,74b9c366,0da02864,d183068d,1f2a80c1,a3a8d018,00000000,00000000,00000000,00000000,00000000
44a18f8b,f3796793,480d1b32,6901f346,ceb6489d,521506d0,1a347102,34298f99,00000000,00000000,00000000,00000000,00000000
548c080f,bcf779f5,eac9a328,50f9c526,911546a1,41f2a58f,21304cd2,14459096,00000000,00000000,00000000,00000000,00000000
644a461c,7bdbd4f4,c58c2732,48995385,cf942a48,c153a810,952c68f9,c4064dab,00000000,00000000,00000000,00000000,00000000
7462ee86,7f7157a2,c68b1e32,90f9c406,90984284,b1c2c60c,2c3c6501,83864c98,00000000,00000000,00000000,00000000,00000000
048d089f,cdcfd4b3,ca4f183a,a4ca1387,4c9d42a0,d1a40651,183064d2,12e89128,00000000,00000000,00000000,00000000,00000000
1484c38d,ffe96d83,85cc9b3a,4d221328,9221505c,aa830752,203e60c2,34490a21,00000000,00000000,00000000,00000000,00000000
244c3623,ee36cfd2,84d01b2a,80b13345,4ea13a60,c1f3048b,1e5298a9,4285cc19,00000000,00000000,00000000,00000000,00000000
347e0b8e,edf456b4,66cb973c,98b9c4e6,8ba04670,e1930893,1b3478d2,13498da3,00000000,00000000,00000000,00000000,00000000
446dc28e,df05eaf2,e7d21428,88f1e3e6,d19d3061,39d3480c,18407d0a,23e60fa0,00000000,00000000,00000000,00000000,00000000
54a830af,f47d5ee4,4894a044,84eae428,4d993688,d1f529cd,99428d39,93490f2b,00000000,00000000,00000000,00000000,00000000
64989cc7,ec2c7fb4,074d1d40,64f9d3ea,921c407c,d1b4688f,9e5080d1,c4c854a0,00000000,00000000,00000000,00000000,00000000
74a5241f,6f723bf5,6a0e1938,750a032a,8c9e627c,f9e40ace,1f429901,b3491320,00000000,00000000,00000000,00000000,00000000
0448093f,bed44ff2,e5c99426,7d01e2a7,50a1386c,e993478a,a42c4ce2,04471113,00000000,00000000,00000000,00000000,00000000
14b643b3,fe44fa75,0911293c,891263e6,4ea03e7c,fa5347d7,1a3098d1,e42795ac,00000000,00000000,00000000,00000000,00000000
2416150e,dfd627f3,864e1736,788142e6,0d904454,da02e64b,132e5899,a263cb99,00000000,00000000,00000000,00000000,00000000
34c91ecc,f1d837f3,880da03e,6cda050a,94a03ead,1233e7cd,9e40714b,4487932c,00000000,00000000,00000000,00000000,00000000
4496f0cd,7ce8b793,054b2f40,68d9a3a7,901a349d,01844855,a45870da,530ad023,00000000,00000000,00000000,00000000,00000000
54b7021d,f7b53db4,2752a13e,8102f3a8,152d36a1,2a05484e,a4328931,e2e84d29,00000000,00000000,00000000,00000000,00000000
64a0c36d,fa5d55f3,468f9d44,a0ea858d,13214070,c18307cd,193a6d0a,a5888d1b,00000000,00000000,00000000,00000000,00000000
742fcf6b,9c11f493,e6909232,48c97365,4a99347c,e1c2a48b,19245521,52678ca0,00000000,00000000,00000000,00000000,00000000
048047cb,b9eb35f4,264e2332,7922350a,0d193a78,a1f347ca,a23c84aa,944a4f19,00000000,00000000,00000000,00000000,00000000
14ac857f,f8733393,270d2934,60da34c7,4bad5081,3a534751,2c3a5d11,946717a8,00000000,00000000,00000000,00000000,00000000
2490a7bf,de471ab3,870ca434,9d22246a,0f294c60,fa44e6cd,a13468c1,a4498da7,00000000,00000000,00000000,00000000,00000000
341137de,ecf2a2d2,a5cc153c,5c9101e7,8c283690,d962840f,132644a9,230448a5,00000000,00000000,00000000,00000000,00000000
