TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f267868f,9f73faf2,e5cb103a,88e1e346,4b283689,49b5474c,123864d9,02840811,4060b180,00000000,00000000,00000000,00000000
1313d9ff,d47af8b5,e88f1d32,954294c6,d59e3470,d9e60691,1d308511,b407d81b,4a8d41a0,00000000,00000000,00000000,00000000
2298653f,bbb75bf2,47cc9a22,7941a505,89a35460,c9f4298d,15407cc1,83451120,3e60d200,00000000,00000000,00000000,00000000
32498f96,f5bf76b2,46091826,44ba1265,12123c2c,ba83044c,1a2258d1,03258e10,1a74c110,00000000,00000000,00000000,00000000
43126ffe,fc566f33,288ca130,64ea3448,0f97347d,19e50894,972c6cc2,34878d1c,2e850190,00000000,00000000,00000000,00000000
530dbe2f,6f79c795,084f9d30,64c17407,911d3464,ea042690,2948a4b9,f4685127,40712a00,00000000,00000000,00000000,00000000
62ef078f,fff587a3,e80aa130,84b95308,0e223279,098426d2,1b3e7cd2,3346cca8,3288b160,00000000,00000000,00000000,00000000
725ff4fd,51e15bf3,6489341c,4c7132e4,89952238,b1330709,1e244d19,82070c14,246091f0,00000000,00000000,00000000,00000000
030eaf1c,a9dc7ff5,cb4f2138,a5b21466,0c243488,e225a64c,a546951a,8408cea0,3080da90,00000000,00000000,00000000,00000000
12b5c9fd,fd60fdb3,4b0e142e,949a4325,50142a64,d213c64c,983460e1,62864c1c,2e68c950,00000000,00000000,00000000,00000000
22b17b4f,7d777ab3,048c1640,48f26428,8da54e74,da93660b,982858c9,f5e79219,5a48b1d0,00000000,00000000,00000000,00000000
326324eb,fe793ff2,460d9428,509172a7,cf193c84,f1938449,242650da,2484ca1a,2aa8c9f0,00000000,00000000,00000000,00000000
4286f96b,5f1de9f4,86499930,a8e28345,4c9b2a65,0994460b,232a6101,33844c91,245d01c0,00000000,00000000,00000000,00000000
5293e63b,5f6737f3,46cd3632,6111c3a5,8e983450,a2250a4c,132c4521,9268101b,2c64d9b0,00000000,00000000,00000000,00000000
63075fbf,fc24abd3,c68d2030,70fa0429,111a3284,c9c4a9d2,a040a8d2,24060c9b,487909d0,00000000,00000000,00000000,00000000
725d018f,fdf95ff2,cb0c9034,a4e2348a,8e9d3671,1164090c,9f2650d9,e2455098,3458e1b0,00000000,00000000,00000000,00000000
0289d30e,fdf35ef3,4651984e,7d017406,0992225c,d943c954,9b3054c9,d264ce1e,3c48d1c0,00000000,00000000,00000000,00000000
12bade5f,f03c7fb2,e4c91932,7cf1d2a4,8d1b30ac,fa94860e,1f5268a9,f4a84ca7,266949e0,00000000,00000000,00000000,00000000
2304fccf,3f35bee3,270c9660,60a1a366,0d1e3a64,f9f2aa8a,184864b9,c406cba9,3c60e210,00000000,00000000,00000000,00000000
32a1fcc9,ffb0fb72,6696a82a,50a1a404,88233a81,0a330b10,9d3040b9,2325c817,34651200,00000000,00000000,00000000,00000000
42b3cf8f,bf476b74,258e9650,49023266,4ca83278,d153a64a,a22864c1,23260a18,266cc200,00000000,00000000,00000000,00000000
52f46fbf,b78cefc3,c9101f56,9d6a6345,91a24068,a9d2c5ce,9e30a8e9,b3275323,368d0170,00000000,00000000,00000000,00000000
62b8e96f,f378fbd2,e90f1830,44da160c,4d1c4a78,c20346cf,1b485ca1,93c6111c,52c94a90,00000000,00000000,00000000,00000000
72ab464f,7fd1efb4,860d194e,74996285,54263a90,b1a324cf,143054b9,6366cb9a,2a592170,00000000,00000000,00000000,00000000
030d0f8d,cff66fe3,660d2236,6919756a,ccac3c90,d1b3888e,1b3c690a,33260d21,2e6cc280,00000000,00000000,00000000,00000000
12e6159f,fdffd0b4,254c9e66,90c20427,4fa54e80,f9f3aa51,1f2c8d51,b4a5ce1f,2ab4d1c0,00000000,00000000,00000000,00000000
2300db5f,75bdff84,278d3040,94ea542c,8f183059,19b60951,a63c80d1,a469d5a1,387d11c0,00000000,00000000,00000000,00000000
32a2359e,ffddadb4,44942626,68e194a7,1520286c,d1940589,964474d2,04a80b96,34a8d9c0,00000000,00000000,00000000,00000000
42bf471e,3b55eff4,274c1e36,5cc3026a,5024289d,69c348ca,a626589a,0344d424,3e70e1a0,00000000,00000000,00000000,00000000
528c7c5d,ffa25fb2,26089524,50918287,50984444,8223e5ca,9d3460b1,d2e80f1b,4e9cf1f0,00000000,00000000,00000000,00000000
625b979f,cda2bbf2,a64b902a,48a1c225,0da03254,b94325cc,192a4cf1,c3480ea2,4688a110,00000000,00000000,00000000,00000000
730fc7cf,c7ba2f53,66d0962c,a8b9e306,8ca236a1,11c3a54b,a9386101,82894c15,285ce9e0,00000000,00000000,00000000,00000000
02a8e13b,eff877f3,284d9434,64f1e3e5,119a4869,415365ca,ac268501,8406cc1b,366cd230,00000000,00000000,00000000,00000000
12a7d057,ffe574f3,06d04334,58b18568,11235465,012329cc,9a4c8c91,e2c6d11a,3260b980,00000000,00000000,00000000,00000000
231e9e2f,d07fdf62,e6509830,84ea2327,59205089,3a13c68d,a24090f9,b4064d97,328cc1a0,00000000,00000000,00000000,00000000
328a3b4e,54ff7ef2,880c9426,48d9d2e7,0d983680,a193460c,1a347c91,5406091a,3a8d0180,00000000,00000000,00000000,00000000
42c58f8b,f77d67d3,06901a36,64d203e6,8d9d6c91,39754854,1b4068a1,a38811a1,4c7ca990,00000000,00000000,00000000,00000000
522c082f,fcfff9f5,eac99146,50a1f383,549a4455,1a8507c6,152c7872,1304cd21,44590960,00000000,00000000,00000000,00000000
626e469c,7bffd4f4,c40b184e,64892265,4e173e50,a9230548,9d404509,52c68f9c,4064dab0,00000000,00000000,00000000,00000000
72b2fec6,ff7177a2,c68b1e2a,6521f385,501a2884,c214258e,16306161,e3255018,3864c980,00000000,00000000,00000000,00000000
