TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f8a2e5cb,101a1810,d3a8811c,0a3429e3,464b280c,10da2526,d5053a60,9081870c,9b205081,01e44020,3058c000,00000000,00000000
09720bd1,1e3a44ca,51c61429,4c6d59e3,470d9e60,1cd0a441,05953a61,0a20e6c7,203ec0da,53060a23,26a0d000,00000000,00000000
11218305,083e6410,6340c88c,227941a5,0589a30a,a8c191a7,d0a60e68,a91407cc,073018d1,41a8901f,30690000,00000000,00000000
192082cc,12062021,82644ba1,0e089872,8904923c,2cb8b501,4c110860,d112c688,053258e0,b203419d,12608800,00000000,00000000
2081a648,0b4464a2,13064ea3,4480f973,47c8a33c,a11292e5,090d2c50,d88308ca,14487889,a385d08f,2a80c800,00000000,00000000
2a84250f,9d1060c9,82e80890,26783223,a68c903a,803a1348,149648a4,b9f0e211,a1444c98,f4e80e25,2c550000,00000000,00000000
31f40550,95042480,b3084b95,22305984,0711193c,84c21369,0d9f3e69,18a343cd,99264c88,85065116,20586000,00000000,00000000
39b2449a,0e263898,32e24012,265488e2,c2c98030,14e05181,c91e244c,58d0a351,82300881,c1460a12,3048f800,00000000,00000000
42e5a785,a1227062,96c8518e,1640c184,85831a10,8879c2c5,512d3238,ca546488,124a8d42,04675018,406d4800,00000000,00000000
48d344d6,1c281421,7162d293,4864aa02,84ca9934,84f19321,8c033460,90022143,1c2c50c9,83844b9a,2064a800,00000000,00000000
50f0610c,052460b2,01048f07,4c184214,46d28d4e,74da9363,8c112e60,a082c64f,905e7921,920b4892,1c58e800,00000000,00000000
5800a48c,04146c28,02808794,28483172,254f9e32,7909e327,04882249,2130608a,0f126d12,42650d15,5464f800,00000000,00000000
60c48642,13326151,c080d410,34547191,86ca8932,41099446,0b0a1a01,19530210,13384431,90c10892,2e80e000,00000000,00000000
6900468d,9a6c6410,73088309,1470e961,274c0634,14a1444a,148e304c,68f2c452,081a6498,c4080d96,326cd800,00000000,00000000
7183c68d,024058c1,c3e810a4,2888d194,264e254e,95020543,c2091068,407442ca,202e6091,9286d21e,4250e800,00000000,00000000
7965800c,82042800,c0a4081a,1a141a93,88d22a3a,74d9c443,4b204864,f93081ca,033634f1,22a84c1a,2c70d800,00000000,00000000
01a0030c,a3303138,30c7d005,0c100174,06039324,44b9b282,cf25526c,c101a54c,893a3899,3387881e,2468e000,00000000,00000000
0970a4c5,123210c9,f3c74907,2a2491a3,66159f52,90c03202,44911670,fa934347,0b2a7d2a,1329c99a,24a4f000,00000000,00000000
11132508,9c325981,8284c99a,36288983,478e8c26,64f9f2aa,8a141861,20d3214b,9c2280d9,75278598,38843000,00000000,00000000
1871c2c9,9a5aa0a9,4283061a,40285121,c388233a,810a330b,109d0860,80a041c4,172464b9,01c5cd0e,32890000,00000000,00000000
20c0c84b,1d2c0c3a,82481193,20381193,2a0c9e1e,68a9d325,51072844,40532609,09326091,4246098d,36610000,00000000,00000000
2873c403,14488091,f569d6a6,2268b234,480d151a,74b132e7,4f180048,3aa3a446,9b3274a2,6466d1a0,2e488000,00000000,00000000
31712006,a43c6089,82220890,36846b06,268e253c,6100a046,8d913c6d,21704182,943278c2,220714b2,52454800,00000000,00000000
