TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f880d884,8654a154,b1b264a9,4eaa0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
18f17226,6a98b758,cd2ab52d,96310000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2176c7b3,c9502e5c,c55ac568,d5ac0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3c097b44,0652a550,9d5a44a9,cda60000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
490a39e4,2a563152,cd72652b,16290000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
50a2ed46,2a14a55a,a593154b,182e0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6c8ebc65,c794a05c,b18304c9,18220000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7f67cd36,e84da342,8cda64e7,93280000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0076c377,0a5e2154,a55b15cc,d8310000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1cd25446,08952b50,b53242ea,14270000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2e1d2db3,c8d4a862,b97a550d,58a60000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3e5f3f13,e80d2150,b94a93aa,55b10000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
47db7d25,2c16244e,a15a6509,102a0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
5db9deb4,ae14274e,85a22548,96290000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
65c564d5,6a182f58,d182050a,56ad0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
76c05fa6,040ea068,c95b03e9,d4aa0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
03d7dd84,6c141050,8d432469,14aa0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
131d73a4,09162062,c8ca85ab,58300000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
271bb664,8d12a656,a182a46a,d7aa0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3d5082e3,cd50a840,c5a252c9,d2ac0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4808d5b4,e8d89e5e,a161f489,122a0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
55c2c204,6b5cac60,9d51f5ea,99280000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6024f2c3,ab512974,c122d36a,58ba0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
715d4e25,68559b5a,c5428409,d4aa0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
01c409a5,2618226a,c572e54a,55ae0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
17c5f1c5,091b2960,cd83066a,8f320000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2837f7c4,0adb2a6e,a993256d,58270000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3b74bcc4,aa95265a,c55a954b,12b00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
41f31685,a8591b64,a992954a,18ac0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
561709c3,e8502256,b1524349,98af0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
6bf408c4,a7529b56,852a232a,56ad0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7989f235,8b942664,a172a44a,53290000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00fa63f4,2a4da752,bd7b04ea,d42e0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1cb59f45,510d2264,cd6b048a,8fa80000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2ba519e5,4996a472,c4d2962a,96270000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3ad76f94,c8122152,8d1a8569,d32f0000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
