TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
fc2dfeea,fdf7ffef,145cb962,03430d3a,88e0d3c6,8c965018,da2526d5,1d304840,c3864d90,284080f2,280c1630,f922f922,f922f922
0c19ffff,ffdfffff,2e417a23,c748994a,38c28529,8dab3c68,e1b3cc03,9a148859,53a610a2,0e6c7203,ec0da530,60a2326a,0d000922
1423fedf,fbffffff,243060a1,07cc8634,446113ca,0d282c4d,1aa30646,9f429839,a2a4501f,301cc063,4506a240,7cc1a400,11221122
1c30bafd,ffdbf7ef,242cc121,0609912e,843930e5,12092478,59716a0c,11306889,63440c96,382c80d3,a24c1100,19221922,19221922
2400ffff,ffffffff,1034c901,688c9442,60c9d468,901f2e68,f9146794,22525ca1,21a58a1b,10611942,890f1134,70ba11e5,50192122
2c00ffff,ffffffff,5084a1f3,a20c1930,5d011204,cf064474,d1920750,07426902,92c91497,3e1c4234,2889931e,9d01c4a5,8aa02922
3412fbff,ffffffff,3e80aa12,a2480b30,84b95223,05984071,1193c84c,213690d9,f3e6918a,343cd992,64c88850,65116205,86003122
3c2dff6f,f57fb5ff,36489341,c4c7132e,249132a4,4716164c,c1c181c9,1e244c58,d1a8cc10,3828c142,46091f00,39223922,39223922
4400ffff,ffffffff,5cb4f0b4,244e0c52,d90a31c2,c8183090,b0634211,0f3858aa,25a64719,4a8c9102,4951a840,8cea0308,0da94122
4c29fcff,fff75fff,1a689ac3,850b8b16,949a4325,50142654,c9a4278c,990c60d1,8244431c,2c50c983,844b9a20,64a84922,49224922
542597ff,ffffffff,1e609182,c804123c,1d306108,511b4a35,39d36a4d,8e3044b9,82820b19,3e4179e4,86482d22,487163a0,51225122
5c2c365f,ffff9fff,246051b2,83ca1424,18b912a7,cf193c84,f1938244,11249099,41e24da2,484ca1a2,aa8c9f00,59225922,59225922
6428ef9f,fffdffdf,1890c933,26151c50,40d151c6,461b2a24,c9042651,182c286a,32a60420,26708863,2188922e,80e06122,61226122
6c22beff,fdffffff,2068d9a6,c6439844,1848a387,4b093a60,31a28511,285238c1,31a3cb11,48206992,63102036,58c9b360,69226922
741ef7ff,ffefffff,3078d1a4,058c1c3e,810a4288,8d194264,e254e950,20543c48,834203a2,16510173,048c9436,90f21287,40007122
7c2ed2bc,ffffb7ff,2cb0c8a1,84081a1a,a4e2348a,8e9d3671,10d2c812,193e4c39,43634f12,2a84c1a2,c70d8000,79227922,79227922
0426bf74,ffffffff,3430ca33,0313863e,80317406,03932444,b9b282cf,25526cc1,01a54c89,3a389933,87881e24,68e00122,01220122
0c25bdff,ff7fffff,2e4c5123,264f9e3a,48395124,8d1b30ac,fa948608,09124459,c3ea4d0d,1c2ca9f4,a84ca726,689293c0,09220922
