TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
fc04ffff,ffffffef,145cb962,0343021a,75102381,46853c68,c9650182,1b44a4da,a0a74c12,1030e193,640a1020,3c8a0305,00000000
8c000c00,ffffffff,ffff2e41,7a23c748,994a38c2,85298dab,3c68e1b3,cc039a14,8820b2a7,4c21441c,d8e407d8,1b4a60c1,00000000
4464d41a,1400ffff,ffffffff,243060a1,07cc820c,68191184,4f2834a0,b1346155,183234fa,14c1cd15,2280f980,e6031a28,00000000
351203e6,0d201c00,ffffffff,ffff2410,598240c4,04304c89,7421c113,0e512092,47859716,a0298221,0c1a2258,d100a64b,00000000
1c164068,33a24c11,2400ffff,ffffffff,1034c901,688c9442,60c9d468,901f2e68,f9146794,22525ca1,21a58a1b,10611942,00000000
890f1134,70ba11e5,50192c00,ffffffff,ffff5084,a1f3a20c,19305d01,1204cf06,4474d192,07500742,690292c9,14973e1c,00000000
42342889,931e9d01,c4a58aa0,3400ffff,ffffffff,3e80aa12,a0849016,610972a4,460b3080,e2232790,98426d21,b3e7cd23,00000000
146879b3,24c99110,a0ca22c4,0b0c3c08,ffeff7ff,ffff3648,9341c4c7,13065c49,2265488e,2c2c9980,a7028c0e,48f12262,00000000
c6851a8c,1180440e,0a305091,8247c000,4400ffff,ffffffff,5cb4f0b4,244e0c52,d90a31c2,c8183090,b0634211,0f3858aa,00000000
25a64719,4a8c9102,4951a840,8cea0308,0da94c04,ffffffff,7fff1a68,9ac38502,842e2c5a,52690c95,40509953,26909e32,00000000
64318066,8c122214,31c2c50c,983844b9,a2064a80,5400ffff,ffffffff,1e0c2180,a48c1640,2091e0e9,83084288,da51a9ce,00000000
9b526c71,8225cc14,1058c9f2,0bcf2432,41691243,8b1d5c08,7f7fffff,ffff0a48,c04146c2,94043ca1,42418b91,2a7cf193,00000000
c84f1938,24411249,09830450,78936892,132868aa,a327c000,6404ffff,fffdffff,1890c842,664c2a38,101a8206,8a8e3230,00000000
d9512648,213288c1,61435195,30210133,8443190c,108922e8,0e006c00,ffffffff,ffff2008,d1b34d8c,820e6110,61228e1d,00000000
2c24e980,c6829428,894291c6,098d1e58,8a41034c,93188101,b2c64d9b,7400ffff,ffffffff,3078d1a0,480b1838,7d021485,00000000
111a3284,c9c4a9d2,a040a878,41220d08,0e885944,05cc1232,50da43c8,4a1d7c08,deffffff,ffff2cb0,c8204286,052040d0,00000000
d0a0d49c,469151d3,a6ce221a,59024327,c9840e50,19b1a789,154260d1,6386c000,0408bffe,ffffffff,3430ca33,0313830c,00000000
7d0050c1,0ba0301c,992225cd,9416792a,9366080d,2a6449d1,c4c99c3c,40f12347,00000c00,ffffffff,ffff2e14,98a24642,00000000
193e78e9,20e54492,346cc2b3,ea521806,40489222,ce1f5268,68e1654f,a5426539,3344949e,1400ffff,ffffffff,2264a113,00000000
864b3030,50993346,c5113068,f1d184cc,9f3e5551,42830c24,1a642973,84501b2e,a4f0b307,10861c00,ffffffff,ffff0e38,00000000
59334b54,15285060,c348050a,24387104,67502146,616213a1,0c101408,3882e48c,972038b9,a1c65120,2400ffff,ffffffff,00000000
18190963,a5818750,49023264,07023265,4193c3cd,153a64aa,20e50888,0a64c121,264c1228,48c131a6,cc202c04,fffffffb,00000000
ffff0e78,80628910,123ead3a,d4c44d16,468901a2,a34e9626,5ce9e304,83aa3a44,69b3274a,26466d1a,02e48800,3404dfff,00000000
ffffffff,2e246a43,c6089822,20890368,46b06268,e253c610,0a0468d9,13c6d217,04182943,278c2220,714b2524,54803c04,00000000
ff7fffff,ffff4808,c1a18641,924e7430,22628516,28554124,c7521634,6499e284,8c07262c,a972c6c8,9b2e68a9,60c90b80,00000000
4404feff,ffffffff,3660a1a0,6444a236,69197284,43ab564c,cac3c4ca,a4346ce2,2386cf15,3484a894,66481834,84b9b30a,00000000
04804c04,ff7fffff,ffff1684,a8d282c9,993c559a,40448c20,4274fa54,e80f9f3a,094a23e5,91aa3694,b9c3e50a,8f044092,00000000
d2668e00,5400ffff,ffffffff,2820a064,27841a60,490250e7,42a542c8,f182260b,23166c73,04a4d1a6,3c8051a3,48d3ab42,00000000
70fa2385,4a925c04,ffffffff,dfff0639,10512209,281e9881,3342451c,3294e115,480a1b34,65016265,85a23a69,02506808,00000000
972c1cd2,a206ce00,6404fff7,ffffffff,4274c1e1,06c30d12,5cc30064,49a94090,79008513,ad1870d1,24638a85,4c3c9962,00000000
68089a26,a121f387,0d006c00,ffffffff,ffff2260,2820c44a,92284880,61660614,3a848184,4448223e,5ca9d342,8c0f0608,00000000
b0716748,174078da,74e08f1f,7408fbfb,ffffffff,2a24c972,01ca8c24,50e11045,0da03254,b940e3cc,970a60c8,f2a14303,00000000
2610f083,8690073a,891a2284,40007c00,ffffffff,ffff366d,0962ca88,8b145cf1,83464810,446d4223,87481220,54ba9384,00000000
4c20301c,a1010412,913054a1,7227491e,0408ff3f,ffffffff,32245104,26ca0906,6860e327,8f0b3e51,19a4824d,282a6cb9,00000000
5584d08b,1c448a03,08061b30,6cd9b348,c0000c00,ffffffff,ffff1a60,da086688,960e2070,a0c58598,14ad0224,6a8ca024,00000000
65399349,91910c48,61e1658d,a2046820,c3260b98,1400ffff,ffffffff,2e650943,040b9842,751092c0,8c953ac9,028449cb,00000000
21221050,91878d1b,448121f3,68091936,5cca3246,0d161c0c,fbfeffdf,ffff281d,0110c64a,130c48d9,13a0cb9c,36404980,00000000
86c82010,50c9a306,0d1a3e1c,91540609,1a20751a,03002404,fdffffff,ffff0860,29a40283,1a3664d2,0284481f,1c68d9d6,00000000
c913902e,a9085506,d01a2810,d1138806,14468531,f2a44c80,2c10d4ff,ffffffff,5eac3082,61c50b0e,10882465,0a1f3835,00000000
49a44544,0946a141,f1854b1e,1c84c133,41812144,59096000,340ced7f,ffffffff,4c40b0e3,0293991c,4410a244,ca8e0834,00000000
