RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
9145cb96,92034302,91a75102,93814685,93c68c96,9501821b,944a4daa,90a74c12,91030e19,93640a10,9203c880,94060b18
a2e417a2,a3c74899,a4a38c28,a5298dab,a3c68e1b,a3cc039a,a148820b,a2a74c21,a441cd8e,a407d81b,a4a60c14,a464d41a
a243060a,a107cc82,a0c68191,a1844f28,a34a0b13,a4615518,a3234fa1,a4c1cd15,a2280f98,a0e6031a,a2835120,a3e60d20
a2410598,a240c404,a304c897,a421c113,a0e51209,a2478597,a16a0298,a2210c1a,a2258d10,a0a64b1c,a1640683,a3a24c11
a1034c90,a1688c94,a4260c9d,a468901f,a2e68f91,a4679422,a525ca12,a1a58a1b,a1061194,a2890f11,a3470ba1,a1e55019
a5084a1f,a3a20c19,a305d011,a204cf06,a4474d19,a2075007,a4269029,a2c91497,a3e1c423,a4288993,a1e9d01c,a4a58aa0
a3e80aa1,a2a08490,a1661097,a2a4460b,a3080e22,a3279098,a426d21b,a3e7cd23,a146879b,a324c991,a10a0ca2,a2c40b0c
a3648934,a1c4c713,a065c480,a244ca91,a1c58593,a006029c,a0a30392,a3c4898b,a1a146a3,a0460110,a3828c14,a246091f
a5cb4f0b,a4244e0c,a52d90a3,a1c2c818,a3090b06,a342110f,a3858aa2,a5a64719,a4a8c910,a24951a8,a408cea0,a3080da9
a1a689ac,a3850284,a2e2c5a5,a2690c95,a4050995,a326909e,a3264318,a0668c12,a0044286,a3858a19,a3070897,a3440c95
a1e0c218,a0a48c16,a402091e,a0e98308,a4288da5,a1a9ce9b,a526c718,a225cc14,a1058c9f,a20bcf24,a3241691,a2438b1d
a0014918,a0828d85,a005010f,a2850906,a2e44a9f,a3c64f21,a3c64e09,a1044924,a260c114,a1e24da2,a484ca1a,a2aa8c9f
a1890c84,a2664c2a,a38101a8,a2068a8e,a3230d95,a1264821,a3288c16,a1434023,a2a60420,a2670886,a3218211,a245d01c
a2008d1b,a34d8c82,a0e61106,a1228e1d,a2c24e98,a0c68294,a2889429,a1c6098d,a1e588a4,a1034c93,a188101b,a2c64d9b
a3078d1a,a0480b18,a387d021,a485111a,a3284c9c,a4a9d2a0,a40a8784,a1220d08,a0e88594,a405cc12,a3250da4,a3c84a1d
a2cb0019,a0408500,a1814810,a3434283,a52711a4,a5474e9b,a3888696,a4090c9f,a2610394,a066c69e,a2455098,a3458e1b
a3400619,a4660627,a0618fa0,a0a18200,a2e80c07,a2648897,a365059e,a4aa4d98,a2034a99,a1274713,a2670f10,a3c48d1c
a2e1498a,a2464219,a3e78e92,a0e54492,a346cc2b,a3ea5218,a0640489,a222ce1f,a526868e,a1654fa5,a4265393,a344949e
a2264a11,a3864b30,a3050993,a346c511,a3068f1d,a184cc9f,a3e55514,a2830c24,a1a64297,a384501b,a2ea4f0b,a3071086
a0e38593,a34b5415,a285060c,a348050a,a2438710,a4675021,a4661621,a3a10c10,a1408388,a2e48c97,a2038b9a,a1c65120
a1819096,a3a58187,a5049023,a2640702,a3265419,a3c3cd15,a3a64aa2,a0e50888,a0a64c12,a1264c12,a2848c13,a1a6cc20
a0e78806,a2891012,a3ead3ad,a4c44d16,a468901a,a2a34e96,a265ce9e,a3000907,a547488d,a3664e94,a4c8cda3,a405c910
a2e2400d,a4878c11,a3044411,a206d08d,a60c4d1c,a4a78c20,a1408d1b,a2278da4,a2e08305,a2864f18,a4440e29,a64a48a9
a4808c1a,a1864192,a009ce86,a044c50a,a2c50aa8,a2498ea4,a2c68c93,a3c50918,a0e4c595,a2e58d91,a365cd15,a2c19217
a3660a1a,a0644480,a446cd23,a2e50887,a56ac999,a5878995,a4868d9c,a4470d9e,a2a69095,a128cc90,a3069097,a3661409
a1684a8d,a282c999,a0078ab3,a4808918,a4084e9f,a4a9d01f,a3e74129,a447cb23,a546d297,a387ca15,a1e08812,a5a4cd1c
a2820a06,a427841a,a6049025,a0e742a5,a42c8f18,a2260b23,a166c730,a4a4d1a6,a3c8051a,a348d3ab,a4270fa2,a3854a92
a0639105,a1220928,a1e98813,a342451c,a3294e11,a5480a1b,a3465016,a26585a2,a3a68020,a4a0d011,a2e5839a,a5440d9c
a4274c1e,a106c30d,a125cc30,a000c893,a528120f,a2010a27,a5a30e1a,a248c715,a0a98793,a2c4d011,a344d424,a3e70e1a
a2260282,a0c44a92,a2848806,a1660614,a3a84818,a4444822,a3e5ca9d,a3428c0f,a0608b07,a1674817,a4078da7,a4e08f1f
a2a24c97,a2000395,a1848a1c,a2200114,a3680c95,a2e5038f,a325c298,a323ca85,a0c0c984,a3c20e1a,a401cea2,a4688a11
a366d096,a2ca888b,a145cf18,a3464810,a446d422,a3874812,a2054ba9,a3844c20,a301ca10,a1041291,a3054a17,a227491e
a3224510,a426ca09,a000019a,a1838c9e,a3c2cf94,a4669209,a34a0a9b,a2e55613,a422c711,a2280c20,a186cc1b,a366cd23
a1a60da0,a8668896,a0e2070a,a0c58598,a14ad022,a46a8ca0,a2465399,a3499191,a0c4861e,a1658da2,a046820c,a3260b98
a2e65094,a3040b98,a4275109,a2c08c95,a3ac9028,a449cb21,a2210509,a1878d1b,a448121f,a3680919,a365cca3,a2460d16
a281d011,a0c00c94,a261891b,a2274180,a2e70d90,a126021b,a2080008,a2864d18,a3068d1f,a0e48aa0,a3048d10,a3a8d018
a086029a,a4028006,a346cc9a,a4050890,a3e38d1b,a3ad9227,a205d521,a0aa0da0,a345021a,a227100c,a288d0a6,a3e54899
a5eac006,a0020000,a261c50b,a0e10882,a4650a1f,a383549a,a4454409,a46a141f,a1854b1e,a1c84c13,a3418121,a4459096
a4c40b00,a1c6000a,a009cc8e,a2208512,a2654704,a1a70b9f,a281ca92,a305489d,a4045095,a2c6831f,a087040c,a4064dab
a0008b0b,a3458f15,a3290f8f,a3854594,a1280d11,a2884c21,a4258e16,a1260c2c,a222c59e,a0c64aa0,a2260e19,a3214c05
a3ca449e,a0a18102,a3058804,a3a0c929,a3284e1d,a3274591,a42a0a1a,a3480907,a3288c18,a3268aa1,a105c40e,a4459128
a2070484,a2e64982,a1e44d9d,a264420f,a4884619,a44910a8,a2e55418,a3a91011,a3e48818,a0a61184,a4490514,a424428c
a284c38e,a161d01b,a065500e,a1240b0e,a203099a,a2a75092,a3a60c08,a2034f98,a2248b10,a3ca4891,a4c54a14,a2e60399
a466cb92,a1e00680,a2e58f26,a2e0c00a,a389cd15,a2e8118a,a3870b19,a308931b,a2c68216,a207801a,a0c84d16,a4c2cda3
a2e7c424,a2850287,a0445104,a3c14384,a3c7cd93,a4674198,a309ce9a,a0620182,a1080698,a3080f8d,a4241113,a3e60fa0
a4460b0c,a0461129,a2060795,a4029111,a4275721,a426cc9b,a228868b,a1068fa9,a4e6c199,a2884b23,a4e64d0f,a4879598
a400ca0d,a3a6081a,a3a80913,a327c618,a3074faa,a4871017,a3e6898b,a3060d8c,a468820e,a307cf28,a4068e26,a42614a0
a26ac628,a140ce18,a046478c,a1460b9c,a3a85019,a28a8c95,a3cc4f9f,a127902b,a1a34e07,a0a24fa1,a4c6501b,a3491320
a2e1c102,a081038f,a2e28213,a200ca13,a3e80f15,a3a210a1,a386ce91,a326811e,a1e54502,a229090a,a2c4ce20,a4471113
a1ea1214,a1e88393,a281149e,a4449126,a2408f99,a3a80f9f,a3e94d0a,a047cc0d,a1ab8997,a346131a,a3c49095,a16795ac
a0470c87,a042071c,a1e5c69b,a121060d,a3c40a09,a2e6049b,a2088a9b,a405c419,a065898c,a0014b84,a165899a,a263cb99
a3860020,a326849b,a407cd92,a3680d03,a50a8c18,a5280fab,a2668c22,a467cc1f,a3628590,a306cf20,a28714b4,a487932c
a1260a8f,a2cbd01a,a203c590,a3668692,a3a78820,a1a68d27,a406078d,a448558f,a4834693,a584ce1b,a1894c2b,a4038823
a0c84ea5,a0810014,a1241083,a1e4401f,a40809af,a3a8152d,a286d425,a405d521,a24743a4,a004cca2,a4c78997,a4230d29
a140cb87,a3468191,a1a48f9d,a2c89400,a3aa0c2c,a68990a0,a3834c10,a2c60598,a3e68019,a267441b,a22845aa,a5888d1b
a3e69092,a3248310,a325cd95,a1a54c8a,a3424f9c,a3824895,a2458686,a0440319,a0824292,a2a90a93,a1c78811,a32344a0
a003c913,a0084184,a1e64e23,a327890d,a48511a8,a5050d19,a3a2491e,a287cd00,a3e2caa2,a041cf21,a2254829,a44a4f19
a3270989,a3418a10,a1ea499a,a2460da3,a4c74bad,a50813a5,a3448492,a227512c,a104ce97,a1629119,a0e1519c,a5e487a8
a143458d,a385ce10,a206521a,a4e21222,a46a0f29,a4c6021f,a489cd8d,a206c90c,a2684d1a,a1648c18,a3429118,a4c24da7
a1a2c495,a0418b98,a1c54f17,a244018f,a3c61403,a3690d85,a2c50282,a2078993,a0e1488e,a2a08902,a1238c09,a22445a5
a222c58e,a5039013,a045c010,a1241213,a36b089d,a3270f9e,a4c2cc18,a3c20d19,a047c817,a3078f1e,a3668903,a4000a11
a0638ca8,a1e64580,a4060398,a5648311,a2a7829f,a286c91f,a2c70ea0,a224cf25,a2e10a1a,a163c890,a3c1059e,a321cd0e
a2a88cad,a4428d99,a2e38a08,a2054b8a,a3475625,a3270c05,a3660e9a,a0a64c9b,a0478b93,a2200cad,a3418c9b,a44891aa
a2860816,a3040f22,a0444107,a0e70816,a287c612,a2a60e9c,a0e88324,a306d219,a3810423,a3435212,a4294d1e,a409501b
a0e48785,a3454600,a0681326,a2874982,a487d11c,a1644c19,a4270da0,a1054ea4,a1868a97,a2460a2c,a1048a24,a4e24e96
a0084e2b,a3680c1b,a3244423,a2e40a8b,a4c9549a,a1e50d9d,a387cd99,a1260818,a4a54d98,a1c64b96,a427cba0,a3a30e18
a1058995,a2041196,a2848528,a1464b84,a345d019,a464d1a5,a3210495,a364cc18,a3a95098,a4a75133,a2658da2,a32a50a7
a3c44e87,a3480798,a142941f,a1c6cc0d,a2a64797,a4a68d05,a3654d04,a1068b16,a321c79a,a3284e28,a347512a,a20b0d19
