TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
f2d134e0,06920504,04959e38,40998268,5929309c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
131038b2,2a085086,2751c32a,a0bf5886,0c15487c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22d133e1,04950003,6449134a,a8ea5286,93bd2848,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
33028e02,c4121245,06551236,989303a6,4cb86730,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
43403130,41149324,86ccaf36,727207ad,0c2842b8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52d44111,0b115903,c689a330,98d152a9,d0953294,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
63004c32,40226254,2653263c,79820409,d2392c64,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
73021c42,23280073,c68ca854,590964ea,8b34625c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
02c11c92,0042a852,4ecb2122,a48132c8,16142248,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
12e0843a,40887224,47c99636,4cf1d366,470f5444,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
22d507a8,08200e83,6d4a8e2c,48a526a5,10c34454,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
32b20a40,1a440732,49470f24,6478e2b0,e3904288,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4308086b,00496845,0c4a944a,ccb17426,4bb37270,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
52e1e251,0091b003,ad8c3756,80c21585,0c9d36e8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
62d92440,0b9410a4,05091b36,648382ed,0b282e64,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
