TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
0400ffff,ffffffff,16083811,41440000,4ab8005f,da800410,59a00882,0b285458,730540a8,1634d0a0,6151bd22,0140a281,84900122
0c00ffff,ffffffff,200ce1b2,2a060c22,54282b24,02842874,00d1c00b,253e103a,1008403e,2e0ca8b0,87c00704,008b1286,c2030922
1400ffff,ffffffff,0e840811,e380000a,c870a081,45860218,a0710102,01007820,20228daa,00082800,e0410710,0ce80401,8a081122
1c00ffff,ffffffff,020c0110,a1038320,4c68b141,48802278,58804280,1d100879,b940cb9b,08756073,2484871a,189280e0,04021922
2400ffff,ffffffff,fe046010,40c88808,34f83233,472a021c,01f2e607,86024002,10c5c5c6,37648001,00818604,41786328,81042122
2c00ffff,ffffffff,1e1570c8,60081f0a,29d07000,c4091a20,50400118,100e4c49,5081c380,442029a0,e20d0426,08110182,c0842922
3400ffff,ffffffff,0a802843,60c28a06,ac081182,81840030,10c12545,86202880,72414589,10040190,450aa018,28f9a007,c5803122
3c00ffff,ffffffff,08080091,6b83811e,2a4f1300,0119021c,09276344,020cd4b0,3240149f,14005000,a7db0206,1c183207,64913922
4400ffff,ffffffff,00e4a813,c0019632,052860c6,c4930e10,10f02992,84402409,4140d614,048c4820,46d52004,341830a2,96004122
4c00ffff,ffffffff,521c2053,a1040122,4ce9710e,c8091a0c,003524c1,0a145830,a2e08a92,0c108a20,80820948,246063a2,c9154922
5400ffff,ffffffff,100d7bf1,26c7875c,1c287000,4d1e1600,60c1e009,05080000,a420880a,0c2489d0,a4860042,0cb10129,c21a5122
5c00ffff,ffffffff,2e144882,43019738,44608624,12810220,8067e102,af042450,5003c691,46542841,a2400420,1c00c2a4,c7805922
6400ffff,ffffffff,38f03143,848f1928,2c504405,17230200,4880e041,07072441,70449419,08282170,e10c0f28,1c0021c1,84896122
6c00ffff,ffffffff,38001870,6996da38,29083347,41833e04,3962235f,30420090,a220c081,121838a4,a340130a,34007028,44126922
7400ffff,ffffffff,122c3872,22018312,7c3004c2,46825640,5010a0c7,a80a2438,12e4c180,4a440910,01128302,7c8052a5,00907122
7c00ffff,ffffffff,06040820,e2070d04,017950e1,d4882604,60c126c6,154e1c80,6281a303,0a18a8aa,35018618,784882ea,ca837922
0400ffff,ffffffff,005008e0,e0c08b0e,107300c1,42020662,69638004,8e0a3868,10254e28,263c8002,a0040d00,24003420,499e0122
0c00ffff,ffffffff,04087803,60470322,1c5a34a1,46831010,78c0c040,13082038,d22180a9,04ec0172,08450140,4c103085,429b0922
1400ffff,ffffffff,28146091,44810202,8840a081,8287084c,38500444,17084628,4041078f,0c187110,0113832a,0c189221,08931122
1c00ffff,ffffffff,266ca830,43c98004,4820c284,838c1440,39d022c0,01167533,004385bc,22041b41,40801804,107ab000,40961922
2400ffff,ffffffff,4a580043,02868108,34003108,4d9e1a18,21952305,11127c88,51a48205,042d2062,6403024a,4060f045,c9022122
2c00ffff,ffffffff,0a20b202,40cc8d36,4461a001,04060044,181100c0,87165c48,40804b12,14103820,60c01050,1041a4e5,010a2922
3400ffff,ffffffff,2e1c4850,c0881612,a0700030,1193163c,b850c383,18064d60,f201c009,04003933,6351870e,0040d382,0f943122
3c00ffff,ffffffff,0404b891,c4458532,10503028,42916a50,40012081,0d022460,90821683,09988072,42028006,04490062,c6093922
4400ffff,ffffffff,12101080,80894e0f,1ca0e1e7,4182142c,18744240,8d003060,53048e8a,00304833,a046832e,3481f1e1,4d834122
4c00ffff,ffffffff,3c281021,c001890c,3408f06c,861d0e0c,680025c0,0a228008,f0e0cb86,a0400830,0d4c0d0a,08805564,46004922
5400ffff,ffffffff,1414c846,46888016,19a8016e,c1843214,08e00486,884618c8,c4238683,0c28e820,c0420610,c122c0c2,000a5122
5c00ffff,ffffffff,022808a1,66294510,10c84082,4b833a54,482188c2,03066c80,0003c9a3,14143900,00c3015e,140850c1,80845922
6400ffff,ffffffff,441c00e1,21069b18,18191040,05010408,d221c0c1,8f1e4520,05210997,0c041005,02820204,10d9b443,410b6122
6c00ffff,ffffffff,02480861,0341001a,547b40e0,868e1000,5194c140,000e1830,82a40009,162c4013,23068402,1e2890e0,4e886922
7400ffff,ffffffff,4a5c0841,01008610,20d80343,09841e24,2124c04f,810c4420,3044e499,0c415874,12c5875a,10b831eb,e4817122
7c00ffff,ffffffff,8c00b060,c1cb0310,385102a1,13931840,5a30000d,027c7009,52204338,0c50e270,c0c70318,70607004,d8897922
0400ffff,ffffffff,12496881,228a1454,0c613023,df8126a4,0850e251,11045d00,90250c01,4a6c5820,03d20732,30e0d100,c1910122
0c00ffff,ffffffff,28f8e0f0,20c0a510,00014044,5e98222c,00614981,a77c5808,30638404,00000884,c08e8604,0c1a0503,00120922
1400ffff,ffffffff,04041020,43c8801e,55f891b1,88070338,80418042,98163018,612012a2,08050074,21008329,78b98040,09c01122
1c00ffff,ffffffff,3a00f853,00882012,38484060,c3871845,6930e143,0216302a,40014084,28603070,83470e24,e0508002,ca0b1922
2400ffff,ffffffff,000001f2,20c10300,19587380,038d0cf8,38822180,00042cb0,a161418b,200c38b8,01400f04,9cb01200,cc022122
2c00ffff,ffffffff,1a743022,42c9810e,8410b066,c79f1614,213243c5,190a0839,b0204c07,06203013,e0408418,64e0016f,06072922
3400ffff,ffffffff,023893d0,c4429220,18599061,830b2268,1b60a3d9,17081889,11608c04,52fc2a80,8bc1140a,005139c2,858e3122
3c00ffff,ffffffff,08dc3814,e245810c,0c394300,11813290,31b1c380,ad021482,e083840b,1a00c230,6142ad0c,19483083,04033922
4400ffff,ffffffff,0c048892,02829510,242933e0,c1080224,42502740,03040410,51400793,100cf8c2,03499d14,5c68d101,48014122
4c00ffff,ffffffff,121400b0,028d986a,08111088,08280030,11d081c9,8f0a1058,01488884,16001890,20460408,6410f004,c0814922
5400ffff,ffffffff,0a30e8f5,e005ac18,f8518042,41810024,29050045,820ab408,a0c20c29,4a4c0020,03011b46,40588101,81835122
5c00ffff,ffffffff,32283110,02838210,09d89001,c0840cc8,32842687,1812944a,220a8d26,6c1c3193,20468024,11296005,84115922
6400ffff,ffffffff,0c047810,e1c6a62c,9d006303,40a30420,18910248,0d2a0820,42600480,5a7888a0,22008118,18590080,c9086122
6c00ffff,ffffffff,06081940,29c0b338,1008f120,45050c04,20c1e107,0202a440,d1240205,380498e0,049c9c22,081899a4,46036922
7400ffff,ffffffff,4a60e040,00889000,1848a206,409f2009,2030cbc4,8f0c2c08,86208283,249ca0e5,6289833a,38a11580,0f087122
7c00ffff,ffffffff,5c955970,8741a616,04180281,00811a00,0200a353,93165849,f4604503,0208d800,80829006,08010063,80827922
0400ffff,ffffffff,1a3c8820,a5428210,282031a8,078c1438,98614247,1a4c8428,03478000,2e502020,92890510,00313002,861a0122
0c00ffff,ffffffff,00105040,42860d40,24ba92a4,04130010,3850a049,04024528,07230400,22501910,a180c90e,387971c6,03190922
1400ffff,ffffffff,0c4d4262,00888722,84089001,899c1804,c8200882,03721410,f760c3a1,22541841,82d2a304,1438f002,08271122
1c00ffff,ffffffff,08480071,20c68808,a8216602,80b91480,50e0a068,88180078,8121410a,5614b864,a1c88608,6410a206,9b061922
2400ffff,ffffffff,143120f2,8c511d20,0cc802c0,91851032,22f066cc,113a1da8,01014480,12201b75,c2001106,1c81f1c3,840d2122
2c00ffff,ffffffff,0c30e030,6c880014,1c3090a2,c482280c,30306603,00060028,81a64580,2e2c2800,61178020,9c39b061,c9012922
3400ffff,ffffffff,0e1c3120,40418b24,18706042,08092001,90a289c0,09241c50,b0638106,06045052,a0800402,081822e0,83203122
3c00ffff,ffffffff,16004830,2044923a,9080b3e2,48860030,b9300482,1510041a,60410d80,1c6993d0,61848304,20d05102,86233922
4400ffff,ffffffff,040ce0d4,6041881e,2cba5183,88870e70,2ae0000c,1d0c0478,31814509,24dc50f0,01c50114,4c3871a2,050f4122
4c00ffff,ffffffff,3e28a800,2dea000e,042841c1,c7010c58,013026c4,0b021ce0,e1c05180,162d0860,84898510,3068c261,82164922
5400ffff,ffffffff,28287830,c3861220,1010a0a4,c0031a00,49500306,0b0610ea,b262437f,063c9150,04058048,5801f004,c28c5122
5c00ffff,ffffffff,080801a0,40410304,0871f2e0,46071818,00e0c042,010eb812,01664c26,34ac5b20,c282010c,042bc084,09845922
6400ffff,ffffffff,2e2401d7,2045854e,4cc8b063,c5850020,18a40081,16205800,3340cb97,06341160,64c38928,10584123,00886122
6c00ffff,ffffffff,0624a851,e34e895c,145829a0,4b12400c,60c16405,15043041,612b4800,46549018,a2c0001a,089091c0,01026922
7400ffff,ffffffff,22487851,a2538076,0051b78b,c1910405,294160c6,0e1a1090,11248181,2e407014,4e4c013e,1408020a,c3857122
7c00ffff,ffffffff,003818f1,260ea716,2018e1c0,028d0258,b8466045,92041c01,60a10002,0a6c0881,41d81c12,2030c041,94167922
0400ffff,ffffffff,12c4c076,8248a518,04094122,908c074c,78336002,071a98e1,4006cc20,12740220,20c48962,4c289101,c1870122
0c00ffff,ffffffff,06043810,25040e20,149853a1,8c120600,1ae0aa43,0a0008b1,a4804504,1ce02850,49418726,34001420,88040922
