TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
0414fe6e,f7ffffbf,16083811,414412ae,0bfb5041,059a4410,5942a2c3,982a0540,b1a68503,0a8de915,028a0612,40000122,01220122
0c14ffff,dbf5fdbf,200ce1b2,2a060c22,54282b24,02842874,68e2c94f,840e850b,e2e0ca8b,087c3822,2c4a1b08,0c000922,09220922
1414fcff,ff7f6fef,0e840811,e382b21c,28205161,8086281c,4040804f,04040451,b5408287,02083880,67500628,20001122,11221122
1c10dffe,fdfffffb,020c8850,81c19026,3458a0a4,489e1620,10a3a201,0f372819,73610eac,0e649090,e3431250,1c402000,19221922
240cffff,dfdfefff,fe046010,40c88808,34f83233,472a021c,f97303c3,01208431,71718dd9,20201030,c0882f0c,65102080,21222122
2c10fbf7,f7feffff,1e1570c8,640f8514,e8383102,46881410,230201c9,892a1038,7442029a,0e20d042,60811018,2c084000,29222922
3410ffff,7fffdff6,0a802843,60c28a06,ac081182,81841808,6092a2c3,10144039,20a2c488,02641142,a8060a3e,68f8b000,31223122
3c12dffb,fffbafff,080848b5,c1c08f15,27898046,40870249,d8d10083,352c0c92,93e28505,3ed81030,e0c1903b,24883922,39223922
440c7bff,fffffffe,725409e0,658c814a,1831b124,c384043c,0a64a110,09025050,35850123,120811b5,48010d06,0c28a580,41224122
4c04ffff,dfffffff,521c2053,a1040122,4ce9710e,c8091a0c,1a926085,0a2c1851,70454906,08451040,4104a412,3031d164,8a804922
5414fff7,bb9ffeff,100d7bf1,26c7875c,1c287026,8f0b1830,7920a105,21044050,61244e85,24310832,c404a708,68005122,51225122
5c10ffff,fff7fdde,2e144882,43019738,44608624,12810220,8067e102,af042450,51e348a3,2a1420d1,21080718,5498f000,59225922
6408ffff,bfffffdf,38f03143,848f1928,2c504405,17230224,40702083,839220b8,224a0c84,1410b870,8607940e,08706122,40006122
6c10bfff,ffbffddf,380c3834,cb6d1c14,8419a3a0,c19f021c,b111af98,21242888,30204486,0e2928d2,61468702,84412000,69226922
740cffef,fffef7ff,122c3872,22018312,7c326123,412b2028,085063d4,05121c09,7260d291,02442250,604f900a,54a01200,71227122
7c04ffbf,ffffffff,06040820,e2070d04,bca870ea,44130230,6093630a,a70e4031,40d18185,0c54551a,80c30c3c,24417565,41807922
04147fff,fbffeb5f,28047070,60458708,398060a1,01033134,b1c12382,8e1a0409,538a098f,205440d1,20d08126,78000122,01220122
0c0cefff,fdffdfff,040879b0,2381910e,2d1a50a3,4188083c,606024c2,080e3488,602a413b,2e4108a0,28098206,10a85360,09220922
1408ffff,f7fff7ff,28146091,44810202,8840a081,8287084c,3852220b,84231420,2083c786,0c388844,e0ca8306,24884224,c0001122
1c10feff,fdfffdf7,266ca830,43c98224,10614241,c60a201c,e8116045,9d4cc010,e16f0881,06d05023,00820f56,04096000,19221922
