TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
fc40574e,816b2452,20807125,678e1026,38718268,47325234,c2718000,f922f922,f922f922,f922f922,f922f922,f922f922,f922f922
0c40f7ab,32a0cd0d,1c4c70c2,0c4ea31f,0caa82e3,bac43060,98d2a90f,8d280922,09220922,09220922,09220922,09220922,09220922
14413b7e,10495030,206c7112,4409a554,75294349,de942440,60001122,11221122,11221122,11221122,11221122,11221122,11221122
1c3b38e5,7ee13be4,5030caa2,46c88f1a,98792604,489d1e64,c8e2245c,0c1ace60,19221922,19221922,19221922,19221922,19221922
243c135b,b4534ffa,2a90d973,24d79b1a,5089c2d3,86207ad0,914304c9,a8424d70,21222122,21222122,21222122,21222122,21222122
2c405419,91b515d0,3c34d132,08c6981c,98d15205,53a12a64,72502922,29222922,29222922,29222922,29222922,29222922,29222922
344124cb,6c2a3665,1e84ca61,898f153c,3d80c228,10114e90,8b92c640,31223122,31223122,31223122,31223122,31223122,31223122
3c3b73e4,2b33b807,1c786913,46540d54,589211e5,93aa2258,71426d18,97003922,39223922,39223922,39223922,39223922,39223922
443f17c9,60446ba5,24387bb2,c848a91e,406131c5,902c1a50,71124000,41224122,41224122,41224122,41224122,41224122,41224122
4c420c47,a4cd8722,4430f8e2,658d933c,3069d1a3,4d991c3d,51104922,49224922,49224922,49224922,49224922,49224922,49224922
543f727e,a0c600ee,3631a8d2,a38b1218,5290d6a3,4694430d,11518380,51225122,51225122,51225122,51225122,51225122,51225122
5c4224a4,09a440f3,243128e1,e309191e,38a8d871,c8214400,59225922,59225922,59225922,59225922,59225922,59225922,59225922
64409387,b41496ce,50447926,254a104a,ccb0c225,d0992ecd,c9020707,80006122,61226122,61226122,61226122,61226122,61226122
6c403e25,58191f0a,1c75b186,ead01824,8488c585,0c9d206d,d0d1a000,69226922,69226922,69226922,69226922,69226922,69226922
74419264,50fb418a,405091b1,a6c69032,3c8382e3,1a16503c,b9907122,71227122,71227122,71227122,71227122,71227122,71227122
7c4108d2,9c4293f6,1b70a8c5,96071734,e070f886,c812263a,41c22000,79227922,79227922,79227922,79227922,79227922,79227922
043e89e2,41a35970,189078e3,ea061936,4869820a,0739e060,b8e00122,01220122,01220122,01220122,01220122,01220122,01220122
0c4209d8,c14d1869,263089c2,4d4da82d,249911c5,88b72630,d0000922,09220922,09220922,09220922,09220922,09220922,09220922
14420835,11a43483,24c4fb23,a708a818,449ca18a,8a971122,11221122,11221122,11221122,11221122,11221122,11221122,11221122
1c419250,15123f2f,20488122,0509196c,898c0245,86a31890,d1f5a000,19221922,19221922,19221922,19221922,19221922,19221922
24418b2d,b85c11b4,4a68e973,885a8d42,c870c639,080e4a48,6981c380,21222122,21222122,21222122,21222122,21222122,21222122
2c41521c,129212be,304483a2,2e0c0f22,70f1c6c7,4c9131a8,60002922,29222922,29222922,29222922,29222922,29222922,29222922
343e0b2a,e65448f9,2ef073a1,e3928e1e,70a2a2ca,ca123430,7a9344c0,31223122,31223122,31223122,31223122,31223122,31223122
3c430bda,3030d406,5845e2d1,e5c80e18,559a8183,89151a94,39223922,39223922,39223922,39223922,39223922,39223922,39223922
444127fe,4224b699,3288b113,038e3226,38baa443,0cad185c,70e44b8a,43004122,41224122,41224122,41224122,41224122,41224122
4c4241c0,082179fd,1c686941,a48b141c,4558f1a6,91a82034,88004922,49224922,49224922,49224922,49224922,49224922,49224922
543d6016,13b18ff2,38712a32,444ba254,3d08e447,c8921a58,e1628480,51225122,51225122,51225122,51225122,51225122,51225122
5c40fa2c,91192b5e,38447942,c3898e18,8590d303,a80f1c50,9ba28693,9c005922,59225922,59225922,59225922,59225922,59225922
64424b24,5ca641b9,3454d114,6407b230,74718284,490c1859,09d32000,61226122,61226122,61226122,61226122,61226122,61226122
6c3c56d3,51fe75ed,4a509914,c38a9a1a,40c9b512,08991a78,a902e506,963e40f8,f4e5c000,69226922,69226922,69226922,69226922
7440f110,ec75e946,326492a3,e848c81a,387104c5,47171e40,e0f2630e,0d007122,71227122,71227122,71227122,71227122,71227122
7c419d08,000f241b,2860a0f2,8517a61a,90e171e3,8d217922,79227922,79227922,79227922,79227922,79227922,79227922,79227922
0440b00d,894e8e07,38606132,a3061720,90897184,4f8c1c4c,69600122,01220122,01220122,01220122,01220122,01220122,01220122
