TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
fc30d74e,edfbb6d2,0c4100e2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4acf1c20,4c7060e2,458e1060,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
98942399,08522468,7166138c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0c2cf7ff,f6e4efad,1c4c70c2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0c4ea30c,3c5c3145,5408145c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
707eb104,180c6098,81a545a4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1018f8d2,80001435,7bfeb05b,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
d7330e40,d8e22484,90269551,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
d4a28394,34213877,a18a120c,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2c310182,43801e6a,266c2c33,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
dd5df1b5,15df0c78,68834183,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
93201d18,d0e28c0e,4c68a902,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
a9d09532,392870c2,c3803660,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3e5e4436,37d9e16c,6be51648,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
70f76590,8b22a448,f2018608,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0e4c7164,0b069414,38892000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
4e565670,5e686432,9797fc1d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
d7ef5044,38f24c43,95284128,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
b665840c,2224b8b4,224c9766,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
19c90124,0e0f1400,6e62765d,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7e7c0434,8be263ef,59f81890,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
30f1c7d4,0c322449,b2428687,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
10608281,ce780730,5c70b000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0e671668,1c32fef1,5792ff2f,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
20284120,e2480624,1880a145,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0909321d,b22101d8,c024586a,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
31890d1f,5a00267d,2e833431,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
ab6fe656,c9fd1618,bbc1c1dd,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
0f0c384a,51c3ce14,54595891,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
