TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a0604082,a0e2070d,a0401795,a0e1d488,a260460c,a126c615,a4e1c806,a281a303,a0a18a8a,aa350186,a1878488,a2eaca83
a005008e,a0e0c08b,a0e10730,a0c14202,a0662696,a380048e,a0a38681,a0254e28,a263c800,a2a0040d,a0024003,a420499e
a0408780,a3604703,a221c5a3,a4a14683,a101078c,a0c04013,a082038d,a22180a9,a04ec017,a2084501,a404c103,a085429b
a2814609,a1448102,a028840a,a0818287,a084c385,a0044417,a0846284,a041078f,a0c18711,a0011383,a2a0c189,a2210893
a266ca83,a043c980,a044820c,a284838c,a144039d,a022c001,a1675330,a04385bc,a22041b4,a1408018,a04107ab,a0004096
a4a58004,a3028681,a0834003,a1084d9e,a1a18219,a5230511,a127c885,a1a48205,a042d206,a2640302,a4a4060f,a045c902
a0a20b20,a240cc8d,a364461a,a0010406,a0044181,a100c087,a165c484,a0804b12,a1410382,a060c010,a501041a,a4e5010a
a2e1c485,a0c08816,a12a0700,a0301193,a163cb85,a0c38318,a064d60f,a201c009,a0400393,a3635187,a0e0040d,a3820f94
a0404b89,a1c44585,a3210503,a0284291,a6a50400,a120810d,a0224609,a0821683,a0998807,a2420280,a0604490,a062c609
a1210108,a080894e,a0f1ca0e,a1e74182,a142c187,a442408d,a0030605,a3048e8a,a0030483,a3a04683,a2e3481f,a1e14d83
a3c28102,a1c00189,a0c3408f,a06c861d,a0e0c680,a025c00a,a228008f,a0e0cb86,aa040083,a00d4c0d,a0a08805,a5644600
a1414c84,a6468880,a1619a80,a16ec184,a321408e,a0048688,a4618c8c,a4238683,a0c28e82,a0c04206,a10c122c,a0c2000a
a022808a,a1662945,a1010c84,a0824b83,a3a54482,a188c203,a066c800,a003c9a3,a1414390,a000c301,a5e14085,a0c18084
a441c00e,a121069b,a1818191,a0400501,a0408d22,a1c0c18f,a1e45200,a5210997,a0c04100,a5028202,a0410d9b,a443410b
a0248086,a1034100,a1a547b4,a0e0868e,a1000519,a4c14000,a0e18308,a2a40009,a162c401,a3230684,a021e289,a0e04e88
a4a5c084,a1010086,a1020d80,a3430984,a1e24212,a4c04f81,a0c44203,a044e499,a0c41587,a412c587,a5a10b83,a1ebe481
a8c00b06,a0c1cb03,a1038510,a2a11393,a18405a3,a0000d02,a7c70095,a2204338,a0c50e27,a0c0c703,a1870607,a004d889
a1249688,a1228a14,a540c613,a023df81,a26a4085,a0e25111,a045d009,a0250c01,a4a6c582,a003d207,a3230e0d,a100c191
a28f8e0f,a020c0a5,a1000014,a0445e98,a222c006,a14981a7,a7c58083,a0638404,a0000088,a4c08e86,a040c1a0,a5030012
a0404102,a043c880,a1e55f89,a1b18807,a0338804,a1804298,a1630186,a12012a2,a0805007,a4210083,a2978b98,a04009c0
a3a00f85,a3008820,a1238484,a060c387,a1845693,a0e14302,a16302a4,a0014084,a2860307,a083470e,a24e0508,a002ca0b
a000001f,a220c103,a0019587,a380038d,a0cf8388,a2218000,a042cb0a,a161418b,a200c38b,a801400f,a049cb01,a200cc02
a1a74302,a242c981,a0e8410b,a066c79f,a1614213,a243c519,a0a0839b,a0204c07,a0620301,a3e04084,a1864e00,a16f0607
a023893d,a0c44292,a2018599,a061830b,a22681b6,a0a3d917,a0818891,a1608c04,a52fc2a8,a08bc114,a0a00513,a9c2858e
a08dc381,a4e24581,a0c0c394,a3001181,a329031b,a1c380ad,a021482e,a083840b,a1a00c23,a06142ad,a0c19483,a0830403
a0c04889,a2028295,a1024293,a3e0c108,a0224425,a0274003,a0404105,a1400793,a100cf8c,a203499d,a145c68d,a1014801
a121400b,a0028d98,a6a08111,a0880828,a003011d,a081c98f,a0a10580,a1488884,a1600189,a0204604,a086410f,a004c081
a0a30e8f,a5e005ac,a18f8518,a0424181,a0024290,a5004582,a0ab408a,a0c20c29,a4a4c002,a003011b,a4640588,a1018183
a3228311,a0028382,a1009d89,a001c084,a0cc8328,a4268718,a12944a2,a20a8d26,a6c1c319,a3204680,a2411296,a0058411
a0c04781,a0e1c6a6,a2c9d006,a30340a3,a0420189,a102480d,a2a08204,a2600480,a5a7888a,a0220081,a1818590,a080c908
a0608194,a029c0b3,a381008f,a1204505,a0c0420c,a1e10702,a02a440d,a1240205,a380498e,a0049c9c,a2208189,a9a44603
a4a60e04,a0008890,a001848a,a206409f,a2009203,a0cbc48f,a0c2c088,a6208283,a249ca0e,a5628983,a3a38a11,a5800f08
a5c95597,a08741a6,a1604180,a2810081,a1a00020,a0a35393,a165849f,a4604503,a0208d80,a0808290,a0608010,a0638082
