TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
fc5bd74e,edfbb6d2,0c4100e2,4acf1c20,4c7060e2,458e1060,98942399,08522468,7166138c,f922f922,f922f922,f922f922,f922f922
0c8ef7ff,f6e4efad,1c4c70c2,0c4ea30c,3c5c3145,5408145c,707eb104,180c6098,81a545a4,1018f8d2,80000922,09220922,09220922
145e7bfe,b05bd733,0e40d8e2,24849026,9551d4a2,83943421,3877a18a,120c2c31,01824380,11221122,11221122,11221122,11221122
1c6a3af5,7ef73bfc,5030c865,448d8a22,3c6a61e4,98112274,7860c24c,991c448b,8183598a,11301922,19221922,19221922,19221922
246c7bdf,b6774ffa,1618a864,86c59732,4c42f363,4a113824,b069c206,207ad091,4304c9a8,424d7000,21222122,21222122,21222122
2c58dd5d,f1b515df,0c786883,41839320,1d18d0e2,8c0e4c68,a902a9d0,95323928,70c2c380,29222922,29222922,29222922,29222922
346074df,feba36e7,123c4a13,29830c10,98f082a7,858f602c,38c16450,20229d20,922e4b09,32003122,31223122,31223122,31223122
3c5e77e6,7b37b8c7,1c786882,268ca81a,a83882c2,09211e59,3875444b,0e284c40,b68c4b80,39223922,39223922,39223922,39223922
445c37d9,e16c6be5,164870f7,65908b22,a448f201,86080e4c,71640b06,94143889,20004122,41224122,41224122,41224122,41224122
4c565edf,addd97be,0e2d10c1,424f8814,38996364,c31e1430,68b3a346,9b126470,f10a840b,10444922,49224922,49224922,49224922
54707e7e,a8e61aee,3631a890,e34a8e2c,48614a43,44b51a20,694162c5,a18688a8,c1c05122,51225122,51225122,51225122,51225122
5c68e6e6,f9eccdff,0e2490c0,c9458e1e,24386102,06123218,7881c20a,860c1c6c,38e40507,42885922,59225922,59225922,59225922
64619797,fc1dd7ef,504438f2,4c439528,4128b665,840c2224,b8b4224c,976619c9,01240e0f,14006122,61226122,61226122,61226122
6c62fe25,f85fdf6e,0c1871d6,c61bab40,60312148,488718b0,308281c3,993a40db,a0e2868b,1a006922,69226922,69226922,69226922
745ddafe,58fb5d8a,4020a0a2,428d8d14,20d891a4,03191e41,c1718d0b,0a122d40,f2e64000,71227122,71227122,71227122,71227122
7c7ceef2,fd5bb3f7,102038d1,01ee1512,31658102,4717341d,c0810383,0f1510d9,0244c748,38445800,79227922,79227922,79227922
04888be2,63ef59f8,189030f1,c7d40c32,2449b242,86871060,8281ce78,07305c70,b0000122,01220122,01220122,01220122,01220122
0c67cdf8,cf5fdeef,0c2c9861,844e0924,d4da80e2,c316922c,99114385,0b2c4448,70edc98c,1020d000,09220922,09220922,09220922
146848b7,1fefb5ab,0e484313,ec841d38,2040922a,030c1244,488124e5,0c0ea840,92a5c000,11221122,11221122,11221122,11221122
1c63fef1,5792ff2f,20284120,e2480624,1880a145,0909321d,b22101d8,c024586a,31890d1f,5a001922,19221922,19221922,19221922
247ddfff,fa5c99bd,4a1c39a1,074b8a0e,703216a2,c6a116c8,70c12c72,101c2528,62434c0e,0c384000,21222122,21222122,21222122
2c83fa1c,d2d3d3bf,12604111,441d1170,1c3981e4,439c3c28,30938d84,9d3244c6,a1820000,29222922,29222922,29222922,29222922
3462ab6f,e656c9fd,1618bbc1,c1dd0f0c,384a51c3,ce145459,58914509,0634307a,9342c980,31223122,31223122,31223122,31223122
3c606fde,f6b1f4e6,16296082,2f168f2e,4030e141,c615101c,5b350286,0e0c48a8,60c206a5,39223922,39223922,39223922,39223922
4464e7fe,cbaeb7dd,0e20ca22,c44c0e38,c898e2e2,5506442c,40c16645,2d185c70,e108852e,282e1800,41224122,41224122,41224122
4c5665d4,abe9fdff,1c2051a1,a5038612,246860c2,44120c58,4141c455,871e34d2,35040689,22004922,49224922,49224922,49224922
54596cb6,1fb38ff6,38705081,0212a324,444872e8,950f4224,7223e449,0d2c70b1,41248000,51225122,51225122,51225122,51225122
5c6cfa2e,9dd97fff,38447942,c3898e18,1d0b2102,c68b0c60,7500e3c3,8e165098,7742ca1a,4e704800,59225922,59225922,59225922
64596b6f,dfefe1fd,341ca9a2,21918820,183891ec,8c1d101c,7063020a,11122890,b1830596,42745990,61226122,61226122,61226122
6c6556f7,d3fe7def,4a509914,c3831516,6868b206,439b5120,8991a78a,902e5050,d2c7c81f,1e9c5970,69226922,69226922,69226922
7464f1f5,ec7def7e,326492a3,e1c40842,20411903,470e2098,a861c5c7,90383c48,72630407,0c706800,71227122,71227122,71227122
