RX_DATA_0,RX_DATA_1,RX_DATA_2,RX_DATA_3,RX_DATA_4,RX_DATA_5,RX_DATA_6,RX_DATA_7,RX_DATA_8,RX_DATA_9,RX_DATA_10,RX_DATA_11
92430c82,91841007,91078613,90c08302,9205c406,9223cc06,9123c006,92a18712,90838512,91808493,92644611,93e3010d
a2c88580,a1440a06,a146c696,a0624f00,a3e64f90,a2620311,a0854411,a244868f,a221c58e,a3c3c810,a3c48b28,a3214b98
a3038302,a1024906,a200c800,a0840812,a08b0111,a2464511,a2400890,a3214196,a187c805,a2014189,a082cb02,a2414809
a343849e,a2c4c493,a280cb93,a4c64c02,a28605a1,a38e8616,a0a0018f,a0468ba0,a3058a18,a4244995,a2a60810,a385922a
a082048b,a1844115,a2a3c020,a3068a15,a1468810,a1660f00,a0c18e92,a303cb02,a1419291,a3a6888e,a184c990,a1624598
a1844986,a1834285,a24b0888,a2c10985,a0a14305,a1a5c013,a0e2ca9b,a1258210,a0400118,a3230b98,a0a0c406,a303c398
a1a0840c,a0410306,a0e6101e,a1c40182,a280c70f,a2a4450a,a2410603,a264010a,a0e4428d,a124c70b,a3c68e0d,a1260019
a223058d,a3e10102,a140040a,a2840180,a2c2cc16,a3624498,a3214c02,a1a70285,a4a1c119,a0458e98,a2284d8a,a1288d1a
a1a0d00c,a0c84e95,a0600509,a1254d9d,a1a64a17,a1a24180,a2038988,a1070412,a2c38794,a2c08e15,a223c492,a1418a89
a043428a,a043c383,a1c68105,a401c89c,a2e4cb15,a4228017,a146c69b,a1000aa4,a2a84d97,a0408c23,a2254a9b,a3c84ca0
a0e4c382,a0c0c583,a1c1c506,a0e18d92,a246410c,a206148d,a2658b11,a0e08508,a3008014,a226010d,a4008d97,a2640899
a063c607,a0600004,a0448909,a2e44188,a242461d,a0844493,a0644e98,a1018c0a,a3210111,a2248415,a1214104,a585880a
a3c74296,a2810893,a0c0c287,a0440680,a5268c1e,a0e30905,a224400b,a1a448a9,a3018280,a1a44398,a2a50184,a2028d9a
a086091f,a3008002,a1c24813,a3e10308,a2a64915,a0c08002,a2c54d14,a3e64a21,a4a4c618,a2e5cc93,a3064812,a286cd22
a1265687,a303039a,a226070c,a2208992,a0a5820b,a321c59b,a360c80d,a224098b,a2e44305,a080860a,a1c20319,a3409019
a162cf80,a061c100,a1e58105,a000020d,a1c64597,a4084419,a2a6469a,a2e5cc14,a1c4c882,a2440902,a1a6100a,a2218815
